,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Week Prediction Mean,Trend 7Week Prediction Mean 100k,Trend 7Week Prediction Q25,Trend 7Week Prediction Q25 100k,Trend 7Week Prediction Q75,Trend 7Week Prediction Q75 100k,Trend 7Week Prediction Q5,Trend 7Week Prediction Q5 100k,Trend 7Week Prediction Q95,Trend 7Week Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2021-01-19,42.900253,34.141301875934005,26,20.69157614102105,55,43.7706418367753,13,10.345788070510524,85,67.64553738410727,33.28611,26.490079471841455,20,15.916597031554653,45,35.812343320997975,10,7.958298515777327,73,58.09557916517449,,,,,,,,,,,43.0,,False,False,False
2021-01-20,44.557785,35.460415529087186,27,21.487405992598784,60,47.749791094663955,14,11.141617922088258,97,77.19549560304007,32.32969,25.72893281467259,19,15.120767179976921,40,31.833194063109307,10,7.958298515777327,63,50.137280649397155,,,,,,,,,,,53.0,,False,False,False
2021-01-21,43.908527,34.94371776469052,28,22.283235844176517,58,46.1581313915085,14,11.141617922088258,88,70.03302693884048,31.412142,24.998720618896186,18,14.324937328399187,40,31.833194063109307,9,7.162468664199594,62,49.341450797819434,,,,,,,,,,,39.0,,False,False,False
2021-01-22,37.583946,29.910425655543804,22,17.50825673471012,49,38.9956627273089,11,8.75412836735506,79,62.87055827464088,30.531765,24.298089556396008,17,13.529107476821455,40,31.833194063109307,9,7.162468664199594,63,50.137280649397155,,,,,,,,,,,26.0,,False,False,False
2021-01-23,25.509071,20.300880714785308,15,11.937447773665989,32,25.46655525048745,8,6.366638812621862,51,40.58732243046437,29.686872,23.62569939577952,18,14.324937328399187,40,31.833194063109307,9,7.162468664199594,63,50.137280649397155,,,,,,,,,,,24.0,,False,False,False
2021-01-24,14.859058,11.825282126665115,8,6.366638812621862,20,15.916597031554653,4,3.183319406310931,31,24.670725398909717,28.875872,22.98028121003881,18,14.324937328399187,38,30.241534359953842,8,6.366638812621862,59,46.95396124308623,,,,,,,,,,,16.0,,False,False,False
2021-01-25,14.651916,11.660431482596323,8,6.366638812621862,19,15.120767179976921,4,3.183319406310931,30,23.874895547331977,28.097214,22.360600996762514,17,13.529107476821455,37,29.445704508376107,9,7.162468664199594,59,46.95396124308623,,,,,,,,,,,5.0,206.0,False,False,False
2021-01-26,38.843945,30.913171940483153,23,18.304086586287852,49,38.9956627273089,11,8.75412836735506,78,62.07472842306315,27.349485,21.765536803286523,17,13.529107476821455,36,28.649874656798374,8,6.366638812621862,53,42.17898213361983,213.711,170.07759341052883,174.0,138.4743941745255,247.0,196.56997333969997,131.0,104.25371055668299,314.0,249.89057339540807,56.0,219.0,False,True,False
2021-01-27,38.175446,30.381159740500152,24,19.099916437865584,49,38.9956627273089,11,8.75412836735506,75,59.687238868329956,26.631311,21.19399287039414,16,12.733277625243725,35,27.854044805220642,8,6.366638812621862,53,42.17898213361983,207.766,165.3463849428992,170.0,135.29107476821454,238.0,189.40750467550038,133.0,105.84537025983845,305.0,242.72810473120848,46.0,212.0,False,False,False
2021-01-28,38.174477,30.38038848899305,23,18.304086586287852,49,38.9956627273089,11,8.75412836735506,77,61.27889857148542,25.9414,20.644940377678722,17,13.529107476821455,36,28.649874656798374,8,6.366638812621862,53,42.17898213361983,202.083,160.82368389638296,168.0,133.6994150650591,232.0,184.632525566034,129.0,102.6620508535275,295.0,234.76980621543112,44.0,217.0,False,False,False
2021-01-29,32.56775,25.918387109413743,20,15.916597031554653,41,32.62902391468704,11,8.75412836735506,63,50.137280649397155,25.278519,20.1173999812454,16,12.733277625243725,33,26.262385102065174,8,6.366638812621862,50,39.79149257888663,196.611,156.46890294854958,166.0,132.10775536190363,228.0,181.44920615972305,129.0,102.6620508535275,284.0,226.01567784807608,32.0,223.0,False,False,False
2021-01-30,20.559626,16.3619639351964,12,9.549958218932792,26,20.69157614102105,6,4.774979109466396,42,33.424853766264775,24.641443,19.61039670277387,15,11.937447773665989,32,25.46655525048745,7,5.570808961044129,51,40.58732243046437,191.351,152.28283792925072,164.0,130.51609565874816,223.0,177.4700569018344,126.0,100.27456129879431,274.0,218.05737933229875,25.0,224.0,False,False,False
2021-01-31,11.992514,9.544000204186887,7,5.570808961044129,15,11.937447773665989,3,2.387489554733198,24,19.099916437865584,24.029121,19.12309235194698,15,11.937447773665989,31,24.670725398909717,7,5.570808961044129,50,39.79149257888663,186.314,148.27424296685368,160.0,127.33277625243723,215.0,171.1034180892125,124.0,98.68290159563887,263.0,209.30325096494371,9.0,217.0,False,False,False
2021-02-01,11.945029,9.506211063126102,7,5.570808961044129,16,12.733277625243725,3,2.387489554733198,25,19.895746289443316,23.440428,18.654591985978186,14,11.141617922088258,31,24.670725398909717,7,5.570808961044129,47,37.40400302415343,181.464,144.4144681867017,155.0,123.35362699454856,209.0,166.32843897974612,121.0,96.29541204090566,257.0,204.52827185547727,10.0,222.0,False,False,False
2021-02-02,32.05767,25.512449792586267,19,15.120767179976921,42,33.424853766264775,9,7.162468664199594,64,50.9331105009749,22.874426,18.204150546807796,14,11.141617922088258,30,23.874895547331977,7,5.570808961044129,49,38.9956627273089,176.801,140.7035135887947,151.0,120.17030758823762,203.0,161.55345987027974,118.0,93.90792248617247,253.0,201.34495244916636,27.0,193.0,False,False,False
2021-02-03,32.290043,25.697381352074444,19,15.120767179976921,42,33.424853766264775,10,7.958298515777327,67,53.32060005570809,22.330088,17.770950216799974,14,11.141617922088258,28,22.283235844176517,7,5.570808961044129,46,36.608173172575704,172.334,137.148541641797,147.0,116.98698818192669,200.0,159.16597031554653,116.0,92.316262783017,249.0,198.16163304285547,29.0,176.0,False,False,False
2021-02-04,33.299034,26.500364765524864,20,15.916597031554653,43,34.220683617842504,9,7.162468664199594,69,54.912259758863556,21.806564,17.354314331896603,13,10.345788070510524,28,22.283235844176517,6,4.774979109466396,46,36.608173172575704,168.049,133.7384107277864,143.0,113.80366877561579,194.0,154.39099120608014,112.0,89.13294337670607,243.0,193.38665393338906,17.0,149.0,False,False,False
2021-02-05,28.359747,22.569533030036837,16,12.733277625243725,37,29.445704508376107,8,6.366638812621862,57,45.36230153993076,21.302933,16.953509475570172,12,9.549958218932792,28,22.283235844176517,5,3.9791492578886634,44,35.01651346942024,163.911,130.44526680195773,139.0,110.62034936930485,190.0,151.2076717997692,107.0,85.15379411881739,241.0,191.79499423023358,22.0,139.0,False,False,False
2021-02-06,17.850473,14.205939078237861,10,7.958298515777327,23,18.304086586287852,4,3.183319406310931,37,29.445704508376107,20.818396,16.567901184316725,11,8.75412836735506,27,21.487405992598784,6,4.774979109466396,43,34.220683617842504,159.941,127.28582229119415,131.0,104.25371055668299,187.0,148.82018224503602,103.0,81.97047471250647,236.0,187.81584497234493,21.0,135.0,False,False,False
2021-02-07,10.1663065,8.090650226222351,5,3.9791492578886634,13,10.345788070510524,2,1.5916597031554656,22,17.50825673471012,20.35212,16.196824435610324,12,9.549958218932792,27,21.487405992598784,6,4.774979109466396,45,35.812343320997975,156.102,124.23063149098724,126.0,100.27456129879431,178.0,141.65771358083643,101.0,80.378815009351,229.0,182.24503601130078,13.0,139.0,False,False,False
2021-02-08,10.067796,8.012252510525286,5,3.9791492578886634,13,10.345788070510524,2,1.5916597031554656,23,18.304086586287852,19.903402,15.839721891097724,11,8.75412836735506,26,20.69157614102105,5,3.9791492578886634,41,32.62902391468704,152.43,121.3083442759938,123.0,97.88707174406112,176.0,140.06605387768096,95.0,75.6038358998846,227.0,180.6533763081453,13.0,142.0,False,False,False
2021-02-09,26.440794,21.04237355524674,15,11.937447773665989,34,27.05821495364291,7,5.570808961044129,58,46.1581313915085,19.471514,15.49601147416979,11,8.75412836735506,25,19.895746289443316,5,3.9791492578886634,44,35.01651346942024,148.897,118.49667741036964,122.0,97.09124189248338,174.0,138.4743941745255,93.0,74.01217619672914,226.0,179.85754645656758,12.0,127.0,True,False,False
2021-02-10,28.228088,22.464754874818027,16,12.733277625243725,36,28.649874656798374,8,6.366638812621862,63,50.137280649397155,19.055746,15.165131480898708,10,7.958298515777327,25,19.895746289443316,5,3.9791492578886634,42,33.424853766264775,145.479,115.77653097767698,116.0,92.316262783017,170.0,135.29107476821454,90.0,71.62468664199595,222.0,176.67422705025666,12.0,110.0,True,False,False
2021-02-11,30.383183,24.179843603633344,17,13.529107476821455,39,31.037364211531575,8,6.366638812621862,68,54.11642990728582,18.65547,14.846579870209098,10,7.958298515777327,25,19.895746289443316,5,3.9791492578886634,40,31.833194063109307,142.213,113.17735068242409,112.0,89.13294337670607,169.0,134.49524491663684,86.0,68.44136723568501,222.0,176.67422705025666,31.0,124.0,True,False,False
2021-02-12,24.118683,19.19436763273552,13,10.345788070510524,32,25.46655525048745,6,4.774979109466396,54,42.97481198519757,18.270094,14.539886615239084,10,7.958298515777327,23,18.304086586287852,4,3.183319406310931,39,31.037364211531575,139.05,110.66014086188373,108.0,85.94962397039514,165.0,131.3119255103259,80.0,63.666388126218614,222.0,176.67422705025666,23.0,125.0,True,False,False
2021-02-13,14.102118,11.222885950701311,7,5.570808961044129,18,14.324937328399187,3,2.387489554733198,32,25.46655525048745,17.898952,14.24452057108283,10,7.958298515777327,24,19.099916437865584,4,3.183319406310931,40,31.833194063109307,136.036,108.26150968922845,106.0,84.35796426723967,161.0,128.12860610401498,76.0,60.483068719907685,219.0,174.28673749552345,20.0,124.0,True,False,False
2021-02-14,8.223867,6.544799543917179,4,3.183319406310931,11,8.75412836735506,1,0.7958298515777328,19,15.120767179976921,17.541552,13.960090291220695,9,7.162468664199594,23,18.304086586287852,4,3.183319406310931,40,31.833194063109307,133.099,105.92415741514462,102.0,81.17464486092874,158.0,125.74111654928176,73.0,58.09557916517449,219.0,174.28673749552345,,,False,False,True
2021-02-15,8.243645,6.560538895428181,4,3.183319406310931,11,8.75412836735506,1,0.7958298515777328,19,15.120767179976921,17.197348,13.686162128578871,9,7.162468664199594,22,17.50825673471012,4,3.183319406310931,39,31.037364211531575,130.293,103.69105885161753,99.0,78.78715530619554,155.0,123.35362699454856,69.0,54.912259758863556,215.0,171.1034180892125,,,False,False,True
2021-02-16,21.708746,17.276467406190932,12,9.549958218932792,28,22.283235844176517,5,3.9791492578886634,51,40.58732243046437,16.865765,13.42227915301919,9,7.162468664199594,22,17.50825673471012,4,3.183319406310931,41,32.62902391468704,127.592,101.54152242250606,95.0,75.6038358998846,153.0,121.7619672913931,65.0,51.72894035255263,216.0,171.89924794079027,,,False,False,True
2021-02-17,22.967915,18.27855157898739,12,9.549958218932792,30,23.874895547331977,6,4.774979109466396,54,42.97481198519757,16.546387,13.16810812568292,8,6.366638812621862,22,17.50825673471012,3,2.387489554733198,37,29.445704508376107,125.006,99.48350642632604,91.0,72.42051649357367,150.0,119.37447773665991,61.0,48.54562094624169,217.0,172.695077792368,,,False,False,True
2021-02-18,25.47983,20.277609291952103,13,10.345788070510524,33,26.262385102065174,6,4.774979109466396,65,51.72894035255263,16.238735,12.923270696774125,8,6.366638812621862,21,16.712426883132387,3,2.387489554733198,41,32.62902391468704,122.48,97.4732402212407,88.0,70.03302693884048,146.0,116.19115833034898,58.0,46.1581313915085,214.0,170.30758823763477,,,False,False,True
