countyID,LKType,LKName,probText,n_people
5334,StädteRegion,Aachen,-73.6,553922.0
7131,LK,Ahrweiler,-85.0,127770.0
9771,LK,Aichach-Friedberg,-72.5,130916.0
8425,LK,Alb-Donau-Kreis,-95.1,192104.0
16077,LK,Altenburger,-68.7,92344.0
7132,LK,Altenkirchen,-99.8,129171.0
15081,LK,Altmarkkreis,-82.8,86164.0
9171,LK,Altötting,-97.8,108485.0
7331,LK,Alzey-Worms,-95.1,127274.0
9361,SK,Amberg,-72.8,41861.0
9371,LK,Amberg-Sulzbach,-96.8,103568.0
3451,LK,Ammerland,-90.9,121435.0
15082,LK,Anhalt-Bitterfeld,65.4,164817.0
9561,SK,Ansbach,-74.4,41159.0
9571,LK,Ansbach,-94.7,181314.0
9661,SK,Aschaffenburg,-54.699999999999996,68986.0
9671,LK,Aschaffenburg,-84.4,173695.0
9761,SK,Augsburg,-96.8,286374.0
9772,LK,Augsburg,-99.2,245600.0
3452,LK,Aurich,-73.0,189199.0
7133,LK,Bad,-92.4,156821.0
7332,LK,Bad,-88.1,132203.0
9173,LK,Bad,-98.7,124930.0
9672,LK,Bad,-73.4,103106.0
8211,SK,Baden-Baden,-98.9,54160.0
9461,SK,Bamberg,-99.7,73331.0
9471,LK,Bamberg,-73.9,145570.0
12060,LK,Barnim,52.5,177411.0
14625,LK,Bautzen,-87.8,306273.0
9462,SK,Bayreuth,-54.0,72148.0
9472,LK,Bayreuth,65.10000000000001,104306.0
9172,LK,Berchtesgadener,-69.7,103907.0
6431,LK,Bergstraße,-98.5,266928.0
11001,SK,Berlin,-94.9,357637.0
11002,SK,Berlin,-87.2,272385.0
11003,SK,Berlin,-99.8,384810.0
11004,SK,Berlin,-69.6,308373.0
11005,SK,Berlin,-91.7,229577.0
11006,SK,Berlin,-70.3,284240.0
11007,SK,Berlin,-54.3,332821.0
11008,SK,Berlin,-97.2,320017.0
11009,SK,Berlin,-99.2,249754.0
11010,SK,Berlin,84.39999999999999,256166.0
11011,SK,Berlin,-89.8,273455.0
11012,SK,Berlin,-73.2,250796.0
7231,LK,Bernkastel-Wittlich,-96.2,111828.0
8426,LK,Biberach,-88.7,194019.0
5711,SK,Bielefeld,-86.8,333090.0
7134,LK,Birkenfeld,-97.2,80615.0
7232,LK,Bitburg-Prüm,-93.9,97180.0
5911,SK,Bochum,-83.8,364742.0
8435,LK,Bodenseekreis,77.9,212201.0
5314,SK,Bonn,-84.7,318809.0
5554,LK,Borken,-96.6,369666.0
5512,SK,Bottrop,-97.5,117143.0
12051,SK,Brandenburg,92.10000000000001,71574.0
3101,SK,Braunschweig,-83.9,251364.0
8315,LK,Breisgau-Hochschwarzwald,-60.9,257343.0
4011,SK,Bremen,-89.5,557464.0
4012,SK,Bremerhaven,-92.6,114025.0
15084,LK,Burgenlandkreis,-97.8,184081.0
8115,LK,Böblingen,-98.4,381281.0
15083,LK,Börde,-91.0,173473.0
8235,LK,Calw,-91.5,155359.0
3351,LK,Celle,-97.3,177971.0
9372,LK,Cham,-82.4,126359.0
14511,SK,Chemnitz,81.6,248645.0
3453,LK,Cloppenburg,-89.6,164734.0
9463,SK,Coburg,96.6,41257.0
9473,LK,Coburg,-74.4,86599.0
7135,LK,Cochem-Zell,-69.2,62391.0
5558,LK,Coesfeld,-63.2,218401.0
12052,SK,Cottbus,-58.300000000000004,99687.0
3352,LK,Cuxhaven,-69.7,198103.0
9174,LK,Dachau,-85.3,149370.0
12061,LK,Dahme-Spreewald,-100.0,164528.0
6411,SK,Darmstadt,-98.2,155353.0
6432,LK,Darmstadt-Dieburg,-93.7,292773.0
9271,LK,Deggendorf,-58.2,116596.0
3401,SK,Delmenhorst,-99.5,76323.0
15001,SK,Dessau-Roßlau,-87.2,82919.0
3251,LK,Diepholz,-96.5,213976.0
9773,LK,Dillingen,-96.4,94575.0
9279,LK,Dingolfing-Landau,-90.4,94104.0
1051,LK,Dithmarschen,-85.8,132917.0
9779,LK,Donau-Ries,53.7,131345.0
7333,LK,Donnersbergkreis,-76.2,75230.0
5913,SK,Dortmund,-95.2,586181.0
14612,SK,Dresden,-99.8,543825.0
5112,SK,Duisburg,-92.7,491231.0
5358,LK,Düren,-96.4,262828.0
5111,SK,Düsseldorf,-81.7,612178.0
9175,LK,Ebersberg,-95.4,137421.0
16061,LK,Eichsfeld,82.5,101325.0
9176,LK,Eichstätt,-74.6,128805.0
16056,SK,Eisenach,99.3,42417.0
12062,LK,Elbe-Elster,-82.5,104673.0
3402,SK,Emden,-84.9,50694.0
8316,LK,Emmendingen,-82.7,162082.0
3454,LK,Emsland,-84.9,319488.0
5954,LK,Ennepe-Ruhr-Kreis,-85.2,325954.0
8236,LK,Enzkreis,-97.8,196066.0
9177,LK,Erding,-99.9,133747.0
16051,SK,Erfurt,-68.6,210118.0
9562,SK,Erlangen,-98.4,108336.0
9572,LK,Erlangen-Höchstadt,-95.4,134136.0
14521,LK,Erzgebirgskreis,-98.3,347665.0
5113,SK,Essen,-65.9,582624.0
8116,LK,Esslingen,-88.0,524127.0
5366,LK,Euskirchen,-62.2,191165.0
1001,SK,Flensburg,79.2,85942.0
9474,LK,Forchheim,-64.5,114834.0
7311,SK,Frankenthal,-81.1,48363.0
6412,SK,Frankfurt,-82.3,732688.0
12053,SK,Frankfurt,-79.3,58092.0
8311,SK,Freiburg,-86.4,226393.0
9178,LK,Freising,69.8,173225.0
8237,LK,Freudenstadt,-97.9,116233.0
9272,LK,Freyung-Grafenau,81.2,78122.0
3455,LK,Friesland,-74.1,97900.0
6631,LK,Fulda,-78.3,220132.0
9179,LK,Fürstenfeldbruck,-96.4,213481.0
9563,SK,Fürth,-93.3,124171.0
9573,LK,Fürth,-89.1,114291.0
9180,LK,Garmisch-Partenkirchen,-72.3,87385.0
5513,SK,Gelsenkirchen,-99.8,260368.0
16052,SK,Gera,-99.6,96011.0
7334,LK,Germersheim,-98.8,127303.0
6531,LK,Gießen,-57.0,262505.0
3151,LK,Gifhorn,74.7,174205.0
3153,LK,Goslar,-99.8,138236.0
16067,LK,Gotha,76.5,136831.0
3456,LK,Grafschaft,71.5,135662.0
16076,LK,Greiz,-95.2,101114.0
6433,LK,Groß-Gerau,-99.8,266042.0
8117,LK,Göppingen,-86.3,252749.0
14626,LK,Görlitz,-96.7,260000.0
3159,LK,Göttingen,58.3,329538.0
9774,LK,Günzburg,-99.5,123153.0
5754,LK,Gütersloh,-71.9,360642.0
5914,SK,Hagen,-99.4,189044.0
15002,SK,Halle,73.7,236991.0
2000,SK,Hamburg,55.7,1787408.0
3252,LK,Hameln-Pyrmont,-51.9,148281.0
5915,SK,Hamm,-93.3,179397.0
3241,Region,Hannover,-50.6,1144481.0
3353,LK,Harburg,-79.9,248122.0
15085,LK,Harz,-74.4,221366.0
12063,LK,Havelland,53.800000000000004,158236.0
9674,LK,Haßberge,-77.8,84581.0
3358,LK,Heidekreis,-65.5,140264.0
8221,SK,Heidelberg,71.6,156267.0
8135,LK,Heidenheim,-99.7,130527.0
8121,SK,Heilbronn,-91.6,122567.0
8125,LK,Heilbronn,-91.0,334388.0
5370,LK,Heinsberg,-99.4,252527.0
3154,LK,Helmstedt,-81.3,91500.0
5758,LK,Herford,-53.599999999999994,252122.0
5916,SK,Herne,-93.1,155851.0
6632,LK,Hersfeld-Rotenburg,-62.8,121166.0
1053,LK,Herzogtum,-68.5,192999.0
16069,LK,Hildburghausen,-99.7,64524.0
3254,LK,Hildesheim,63.1,277055.0
5958,LK,Hochsauerlandkreis,-69.3,263762.0
6434,LK,Hochtaunuskreis,-92.9,233427.0
9464,SK,Hof,-74.7,44660.0
9475,LK,Hof,-79.7,96429.0
8126,LK,Hohenlohekreis,-82.6,110181.0
3255,LK,Holzminden,-99.8,71659.0
5762,LK,Höxter,-93.3,144010.0
16070,LK,Ilm-Kreis,-57.7,109620.0
9161,SK,Ingolstadt,-94.9,132438.0
16053,SK,Jena,-84.6,109527.0
15086,LK,Jerichower,-79.6,91693.0
7312,SK,Kaiserslautern,-99.0,98520.0
7335,LK,Kaiserslautern,-99.7,104966.0
8212,SK,Karlsruhe,-99.2,307755.0
8215,LK,Karlsruhe,-96.2,435841.0
6611,SK,Kassel,-61.1,197984.0
6633,LK,Kassel,-61.5,235813.0
9762,SK,Kaufbeuren,-99.7,42731.0
9273,LK,Kelheim,-53.599999999999994,118965.0
9763,SK,Kempten,-91.3,66947.0
1002,SK,Kiel,-85.7,246306.0
9675,LK,Kitzingen,-98.3,89306.0
5154,LK,Kleve,-73.6,310337.0
7111,SK,Koblenz,-89.7,112586.0
8335,LK,Konstanz,-90.8,280288.0
5114,SK,Krefeld,-97.6,225144.0
9476,LK,Kronach,-80.1,67916.0
9477,LK,Kulmbach,76.2,72468.0
7336,LK,Kusel,-100.0,70997.0
16065,LK,Kyffhäuserkreis,-98.7,77110.0
5315,SK,Köln,-89.0,1060582.0
6532,LK,Lahn-Dill-Kreis,-99.1,253167.0
7313,SK,Landau,-97.5,45362.0
9181,LK,Landsberg,-99.7,117657.0
9261,SK,Landshut,-89.7,69211.0
9274,LK,Landshut,-61.3,154577.0
3457,LK,Leer,-81.6,167548.0
14713,SK,Leipzig,98.7,560472.0
14729,LK,Leipzig,-61.7,258408.0
5316,SK,Leverkusen,-99.1,163487.0
9478,LK,Lichtenfels,-92.3,66655.0
6533,LK,Limburg-Weilburg,-85.3,171922.0
9776,LK,Lindau,-99.2,80429.0
5766,LK,Lippe,-98.9,350750.0
8118,LK,Ludwigsburg,-95.3,534074.0
7314,SK,Ludwigshafen,-95.0,164718.0
13076,LK,LudwigslustParchim,-98.3,214113.0
8336,LK,Lörrach,-84.7,226708.0
1003,SK,Lübeck,-74.0,216253.0
3354,LK,Lüchow-Dannenberg,53.900000000000006,50128.0
3355,LK,Lüneburg,-70.2,180719.0
15003,SK,Magdeburg,-62.7,235723.0
6435,LK,Main-Kinzig-Kreis,-99.7,411956.0
9677,LK,Main-Spessart,-87.0,126123.0
8128,LK,Main-Tauber-Kreis,-68.8,132181.0
6436,LK,Main-Taunus-Kreis,-99.9,232848.0
7315,SK,Mainz,-97.2,209779.0
7339,LK,Mainz-Bingen,-91.6,208749.0
8222,SK,Mannheim,-96.1,305780.0
15087,LK,Mansfeld-Südharz,52.6,141408.0
6534,LK,Marburg-Biedenkopf,-98.1,245241.0
7137,LK,Mayen-Koblenz,-92.8,211925.0
13071,LK,Mecklenburgische,78.8,262517.0
14627,LK,Meißen,-84.9,245244.0
9764,SK,Memmingen,84.39999999999999,42841.0
10042,LK,Merzig-Wadern,-68.8,103997.0
5158,LK,Mettmann,-97.8,483279.0
9182,LK,Miesbach,70.3,98286.0
9676,LK,Miltenberg,79.7,128446.0
5770,LK,Minden-Lübbecke,-50.3,313050.0
14522,LK,Mittelsachsen,-54.8,312450.0
12064,LK,Märkisch-Oderland,-87.7,190714.0
5962,LK,Märkischer,-97.8,416171.0
5116,SK,Mönchengladbach,-99.2,259996.0
9183,LK,Mühldorf,-98.6,112034.0
5117,SK,Mülheim,-87.8,169278.0
9162,SK,München,-75.4,1450381.0
9184,LK,München,63.800000000000004,340003.0
5515,SK,Münster,-51.9,310039.0
8225,LK,Neckar-Odenwald-Kreis,-79.9,142936.0
9775,LK,Neu-Ulm,-99.1,170309.0
9185,LK,Neuburg-Schrobenhausen,-80.8,94654.0
9373,LK,Neumarkt,-80.1,130385.0
1004,SK,Neumünster,-99.7,79197.0
10043,LK,Neunkirchen,-95.4,133735.0
7316,SK,Neustadt,-96.6,52999.0
9374,LK,Neustadt,-88.8,95078.0
9575,LK,Neustadt/Aisch-Bad,-95.0,98751.0
7138,LK,Neuwied,-88.5,180655.0
3256,LK,Nienburg,88.4,120632.0
1054,LK,Nordfriesland,55.400000000000006,163960.0
16062,LK,Nordhausen,-65.69999999999999,85355.0
14730,LK,Nordsachsen,-95.8,197605.0
13074,LK,Nordwestmecklenburg,-99.9,156270.0
3155,LK,Northeim,51.9,134896.0
9564,SK,Nürnberg,-74.0,509975.0
9574,LK,Nürnberger,-96.2,167643.0
9780,LK,Oberallgäu,-74.3,152672.0
5374,LK,Oberbergischer,-86.4,273452.0
5119,SK,Oberhausen,-77.4,210934.0
12065,LK,Oberhavel,97.89999999999999,207524.0
12066,LK,Oberspreewald-Lausitz,-94.4,112450.0
6437,LK,Odenwaldkreis,-93.5,97000.0
12067,LK,Oder-Spree,-61.4,182397.0
6413,SK,Offenbach,-98.7,123734.0
6438,LK,Offenbach,-99.3,347357.0
3403,SK,Oldenburg,-96.4,163830.0
3458,LK,Oldenburg,-91.2,128608.0
5966,LK,Olpe,-61.7,136365.0
8317,LK,Ortenaukreis,-80.6,420106.0
3404,SK,Osnabrück,-79.0,162403.0
3459,LK,Osnabrück,-71.5,358079.0
8136,LK,Ostalbkreis,-100.0,312650.0
9777,LK,Ostallgäu,-99.6,137709.0
3356,LK,Osterholz,-97.6,113579.0
1055,LK,Ostholstein,88.3,199574.0
12068,LK,Ostprignitz-Ruppin,68.60000000000001,99110.0
5774,LK,Paderborn,-96.2,304332.0
