countyID,LKType,LKName,probText,n_people
5334,StädteRegion,Aachen,78.8,553922.0
7131,LK,Ahrweiler,-95.7,127770.0
9771,LK,Aichach-Friedberg,-92.3,130916.0
8425,LK,Alb-Donau-Kreis,-95.5,192104.0
16077,LK,Altenburger,-99.3,92344.0
7132,LK,Altenkirchen,-67.8,129171.0
15081,LK,Altmarkkreis,-98.2,86164.0
9171,LK,Altötting,-98.6,108485.0
7331,LK,Alzey-Worms,-97.5,127274.0
9361,SK,Amberg,-74.8,41861.0
9371,LK,Amberg-Sulzbach,-74.1,103568.0
3451,LK,Ammerland,-58.300000000000004,121435.0
15082,LK,Anhalt-Bitterfeld,-98.0,164817.0
9561,SK,Ansbach,-97.7,41159.0
9571,LK,Ansbach,-97.0,181314.0
9661,SK,Aschaffenburg,-64.5,68986.0
9671,LK,Aschaffenburg,-94.8,173695.0
9761,SK,Augsburg,-72.7,286374.0
9772,LK,Augsburg,-93.0,245600.0
3452,LK,Aurich,56.599999999999994,189199.0
7133,LK,Bad,-75.2,156821.0
7332,LK,Bad,-98.8,132203.0
9173,LK,Bad,-88.7,124930.0
9672,LK,Bad,-99.1,103106.0
8211,SK,Baden-Baden,-56.8,54160.0
9461,SK,Bamberg,-98.5,73331.0
9471,LK,Bamberg,-99.8,145570.0
12060,LK,Barnim,-84.7,177411.0
14625,LK,Bautzen,-98.9,306273.0
9462,SK,Bayreuth,-93.4,72148.0
9472,LK,Bayreuth,-80.4,104306.0
9172,LK,Berchtesgadener,-99.9,103907.0
6431,LK,Bergstraße,-98.0,266928.0
11001,SK,Berlin,94.5,357637.0
11002,SK,Berlin,96.1,272385.0
11003,SK,Berlin,91.5,384810.0
11004,SK,Berlin,-59.2,308373.0
11005,SK,Berlin,-74.7,229577.0
11006,SK,Berlin,84.7,284240.0
11007,SK,Berlin,61.9,332821.0
11008,SK,Berlin,74.6,320017.0
11009,SK,Berlin,53.2,249754.0
11010,SK,Berlin,-99.5,256166.0
11011,SK,Berlin,51.9,273455.0
