,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Day Prediction Mean,Trend 7Day Prediction Mean 100k,Trend 7Day Prediction Q25,Trend 7Day Prediction Q25 100k,Trend 7Day Prediction Q75,Trend 7Day Prediction Q75 100k,Trend 7Day Prediction Q5,Trend 7Day Prediction Q5 100k,Trend 7Day Prediction Q95,Trend 7Day Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2021-05-16,23.370018,8.460714889224619,11,3.982361757742073,30,10.860986612023837,4,1.4481315482698447,53,19.187743014575442,49.31928,17.85520144039765,24,8.688789289619068,59,21.35994033698021,9,3.2582959836071512,107,38.73751891621835,,,,,,,,,,,12.0,,False,False,False
2021-05-17,38.271122,13.855405268259346,18,6.5165919672143024,49,17.739611466305597,7,2.5342302094722284,90,32.58295983607151,46.01122,16.65757445152849,23,8.326756402551608,64,23.170104772317515,10,3.6203288706746126,110,39.823617577420734,,,,,,,,,,,14.0,,False,False,False
2021-05-18,65.35872,23.662004969082773,32,11.585052386158758,85,30.772795400734203,13,4.7064275318769955,158,57.201196156658874,42.953503,15.550581156276166,22,7.964723515484146,56,20.273841675777827,9,3.2582959836071512,96,34.75515715847627,,,,,,,,,,,88.0,,False,False,False
2021-05-19,74.03162,26.801880449056625,36,13.033183934428605,102,36.92735448088104,16,5.792526193079379,182,65.88998544627795,40.12554,14.526765153277665,20,7.240657741349225,53,19.187743014575442,8,2.8962630965396894,92,33.30702561020643,,,,,,,,,,,88.0,,False,False,False
2021-05-20,56.563313,20.477779617067426,28,10.136920837888914,73,26.428400755924667,13,4.7064275318769955,131,47.42630820583742,37.508404,13.579275400843471,20,7.240657741349225,48,17.377578579238136,9,3.2582959836071512,85,30.772795400734203,,,,,,,,,,,36.0,,False,False,False
2021-05-21,36.69516,13.284855231177062,18,6.5165919672143024,49,17.739611466305597,7,2.5342302094722284,86,31.13482828780166,35.08509,12.701956438831985,17,6.154559080146841,45,16.291479918035755,7,2.5342302094722284,81,29.324663852464358,,,,,,,,,,,54.0,,False,False,False
2021-05-22,29.225021,10.580418893368915,15,5.430493306011918,39,14.119282595630988,7,2.5342302094722284,72,26.06636786885721,32.839905,11.88912574434653,17,6.154559080146841,44,15.929447030968293,7,2.5342302094722284,76,27.514499417127055,283.84298237609863,102.7604943834575,214.0,77.4750378324367,333.0,120.55695139346457,148.0,53.58086728598426,466.0,168.70732537343693,65.0,357.0,False,False,False
2021-05-23,9.596117,3.4741100535029545,4,1.4481315482698447,12,4.344394644809534,1,0.3620328870674612,23,8.326756402551608,30.758553,11.135607928736135,16,5.792526193079379,40,14.48131548269845,6,2.172197322404767,70,25.342302094722285,265.28221397399903,96.04088581265488,199.0,72.04454452642477,311.0,112.59222787798042,145.0,52.49476862478188,438.0,158.570404535548,2.0,347.0,False,False,False
2021-05-24,17.085974,6.185684469528496,9,3.2582959836071512,23,8.326756402551608,3,1.0860986612023835,38,13.757249708563528,28.827887,10.436643060529605,15,5.430493306011918,39,14.119282595630988,6,2.172197322404767,64,23.170104772317515,248.0988689804077,89.8199498151488,187.0,67.70014988161525,286.0,103.5414057012939,138.0,49.96053841530964,392.0,141.91689173044477,2.0,335.0,False,False,False
2021-05-25,30.591196,11.075018846895546,15,5.430493306011918,39,14.119282595630988,7,2.5342302094722284,70,25.342302094722285,27.03604,9.787935414351523,13,4.7064275318769955,35,12.671151047361143,5,1.8101644353373063,63,22.808071885250055,232.18141584014893,84.05730830001988,178.0,64.44185389800809,269.0,97.38684662114706,129.0,46.702242431702494,368.0,133.22810244082572,11.0,258.0,False,False,False
2021-05-26,42.496563,15.38515352876857,23,8.326756402551608,56,20.273841675777827,9,3.2582959836071512,98,35.479222932611194,25.372091,9.185531234834343,13,4.7064275318769955,33,11.94708527322622,5,1.8101644353373063,56,20.273841675777827,217.4280001296997,78.71608661625952,167.0,60.45949214026602,252.0,91.23228754100022,121.0,43.80597933516281,347.0,125.62541181240904,70.0,240.0,False,True,False
2021-05-27,37.618946,13.619296078104526,20,7.240657741349225,49,17.739611466305597,8,2.8962630965396894,87,31.496861174869125,23.825994,8.625793270766735,12,4.344394644809534,31,11.223019499091297,5,1.8101644353373063,54,19.549775901642903,203.74555667877198,73.76259211158286,154.0,55.753064608389025,238.0,86.16382712205576,115.0,41.63378201275804,321.0,116.21255674865506,50.0,254.0,False,False,False
2021-05-28,25.521378,9.239577775588259,13,4.7064275318769955,33,11.94708527322622,5,1.8101644353373063,59,21.35994033698021,22.38854,8.10538767836988,12,4.344394644809534,31,11.223019499091297,5,1.8101644353373063,52,18.825710127507982,191.04900608062744,69.1660232427385,144.0,52.13273573771442,225.0,81.45739959017878,109.0,39.46158469035327,295.0,106.79970168490105,29.0,229.0,False,False,False
2021-05-29,23.170729,8.388565765926614,11,3.982361757742073,31,11.223019499091297,4,1.4481315482698447,52,18.825710127507982,21.051413,7.621303666383028,10,3.6203288706746126,27,9.774887950821451,4,1.4481315482698447,46,16.653512805103215,179.26053075408936,64.89820748614838,134.0,48.5124068670398,211.0,76.38893917123431,103.0,37.28938736794851,278.0,100.64514260475421,21.0,185.0,False,False,False
2021-05-30,7.342643,2.6582782084005885,3,1.0860986612023835,10,3.6203288706746126,1,0.3620328870674612,19,6.878624854281764,19.806902,7.170750177465379,10,3.6203288706746126,27,9.774887950821451,4,1.4481315482698447,47,17.015545692170676,168.3089077758789,60.933359801272516,128.0,46.34020954463503,198.0,71.68251163935732,97.0,35.11719004554374,260.0,94.12855063753992,7.0,190.0,False,False,False
2021-05-31,12.1833935,4.410789188113995,6,2.172197322404767,17,6.154559080146841,2,0.7240657741349223,29,10.498953724956374,18.647923,6.751160981366411,9,3.2582959836071512,25,9.05082217668653,3,1.0860986612023835,44,15.929447030968293,158.1289291229248,57.24787273925842,121.0,43.80597933516281,184.0,66.61405122041286,90.0,32.58295983607151,247.0,89.42212310566292,2.0,190.0,False,False,False
2021-06-01,22.612051,8.186305785784498,11,3.982361757742073,30,10.860986612023837,5,1.8101644353373063,50,18.10164435337306,17.567982,6.3601873989682645,9,3.2582959836071512,24,8.688789289619068,4,1.4481315482698447,42,15.205381256833371,148.66085298919677,53.820117801590335,115.0,41.63378201275804,174.0,62.99372234973825,84.0,30.410762513666743,232.0,83.991629799651,34.0,213.0,False,False,False
2021-06-02,30.085825,10.89205834432505,14,5.068460418944457,39,14.119282595630988,6,2.172197322404767,65,23.53213765938498,16.561148,5.99568011239171,8,2.8962630965396894,23,8.326756402551608,3,1.0860986612023835,39,14.119282595630988,139.84992061614992,50.63027051682001,107.0,38.73751891621835,168.0,60.821525027333486,79.0,28.600598078329437,223.0,80.73333381604385,36.0,179.0,False,False,False
2021-06-03,25.248466,9.140775364357978,12,4.344394644809534,32,11.585052386158758,4,1.4481315482698447,56,20.273841675777827,15.621987,5.655673157889396,8,2.8962630965396894,21,7.602690628416686,3,1.0860986612023835,38,13.757249708563528,131.64591410827637,47.660150355254316,102.0,36.92735448088104,158.0,57.201196156658874,74.0,26.79043364299213,204.0,73.85470896176209,14.0,143.0,False,False,False
2021-06-04,16.825994,6.091563409427181,8,2.8962630965396894,23,8.326756402551608,3,1.0860986612023835,40,14.48131548269845,14.745393,5.338316987035796,7,2.5342302094722284,19,6.878624854281764,3,1.0860986612023835,36,13.033183934428605,124.00275354385376,44.89307486979623,94.0,34.03109138434135,148.0,53.58086728598426,68.0,24.618236320587364,197.0,71.32047875228986,7.0,121.0,False,False,False
2021-06-05,15.470942,5.600989607046358,7,2.5342302094722284,21,7.602690628416686,2,0.7240657741349223,36,13.033183934428605,13.926813,5.041964323027059,6,2.172197322404767,19,6.878624854281764,2,0.7240657741349223,34,12.309118160293682,116.87813438415527,42.31372842615444,89.0,32.220926949004046,141.0,51.046637076512035,62.0,22.446038998182594,187.0,67.70014988161525,19.0,119.0,False,False,False
2021-06-06,5.347908,1.9361184968147427,2,0.7240657741349223,7,2.5342302094722284,0,0.0,14,5.068460418944457,13.161977,4.765068297274411,6,2.172197322404767,18,6.5165919672143024,2,0.7240657741349223,33,11.94708527322622,110.23320478439331,39.908045378792586,81.0,29.324663852464358,133.0,48.15037397997234,56.0,20.273841675777827,181.0,65.52795255921048,1.0,113.0,True,False,False
2021-06-07,8.654553,3.133232894469984,4,1.4481315482698447,12,4.344394644809534,1,0.3620328870674612,22,7.964723515484146,12.446972,4.50621300842613,6,2.172197322404767,17,6.154559080146841,2,0.7240657741349223,32,11.585052386158758,104.03225429153443,37.66309736930049,76.0,27.514499417127055,126.0,45.61614377050011,52.0,18.825710127507982,174.0,62.99372234973825,3.0,114.0,True,False,False
2021-06-08,15.635972,5.6607361329952255,7,2.5342302094722284,20,7.240657741349225,2,0.7240657741349223,39,14.119282595630988,11.7781725,4.264085873728618,5,1.8101644353373063,16,5.792526193079379,2,0.7240657741349223,30,10.860986612023837,98.24245407485962,35.5669992813139,71.0,25.704334981789746,119.0,43.08191356102788,47.0,17.015545692170676,171.0,61.907623688535864,28.0,108.0,True,False,False
2021-06-09,19.9698,7.229724724311382,9,3.2582959836071512,27,9.774887950821451,4,1.4481315482698447,49,17.739611466305597,11.152303,4.037500184495002,5,1.8101644353373063,15,5.430493306011918,1,0.3620328870674612,28,10.136920837888914,92.83359871864319,33.60881576097256,65.0,23.53213765938498,111.0,40.1856504644882,43.0,15.56741414390083,166.0,60.09745925319856,19.0,91.0,True,False,False
2021-06-10,17.09139,6.187645340105519,7,2.5342302094722284,22,7.964723515484146,3,1.0860986612023835,43,15.56741414390083,10.5662565,3.825332532869652,5,1.8101644353373063,14,5.068460418944457,1,0.3620328870674612,28,10.136920837888914,87.77789008522033,31.778482968242596,60.0,21.721973224047673,108.0,39.099551803285806,39.0,14.119282595630988,161.0,58.28729481786126,10.0,87.0,True,False,False
2021-06-11,12.523296,4.533845276455395,5,1.8101644353373063,17,6.154559080146841,2,0.7240657741349223,36,13.033183934428605,10.01724,3.6265701055526733,4,1.4481315482698447,13,4.7064275318769955,1,0.3620328870674612,28,10.136920837888914,83.04973051452637,30.066733708348615,57.0,20.635874562845288,102.0,36.92735448088104,36.0,13.033183934428605,158.0,57.201196156658874,,,False,False,True
2021-06-12,12.142758,4.396077929413877,5,1.8101644353373063,16,5.792526193079379,1,0.3620328870674612,33,11.94708527322622,9.502611,3.4402579331072047,4,1.4481315482698447,13,4.7064275318769955,1,0.3620328870674612,25,9.05082217668653,78.62553300094605,28.465028709550445,53.0,19.187743014575442,96.0,34.75515715847627,34.0,12.309118160293682,152.0,55.02899883425411,,,False,False,True
2021-06-13,4.2305574,1.5316009012167342,1,0.3620328870674612,6,2.172197322404767,0,0.0,13,4.7064275318769955,9.020003,3.265537816332653,3,1.0860986612023835,11,3.982361757742073,1,0.3620328870674612,24,8.688789289619068,74.48355789375306,26.96549750333181,49.0,17.739611466305597,91.0,32.944992723138974,30.0,10.860986612023837,146.0,52.85680151184933,,,False,False,True
