countyID,LKType,LKName,probText,n_people
3159,LK,Göttingen,98.8,329538.0
9774,LK,Günzburg,-97.7,123153.0
5754,LK,Gütersloh,60.5,360642.0
5914,SK,Hagen,-70.2,189044.0
15002,SK,Halle,75.5,236991.0
2000,SK,Hamburg,94.39999999999999,1787408.0
3252,LK,Hameln-Pyrmont,-98.4,148281.0
5915,SK,Hamm,-97.7,179397.0
3241,Region,Hannover,65.10000000000001,1144481.0
3353,LK,Harburg,-82.7,248122.0
15085,LK,Harz,96.3,221366.0
12063,LK,Havelland,54.50000000000001,158236.0
9674,LK,Haßberge,87.8,84581.0
3358,LK,Heidekreis,91.0,140264.0
8221,SK,Heidelberg,-84.5,156267.0
8135,LK,Heidenheim,78.3,130527.0
8121,SK,Heilbronn,97.6,122567.0
8125,LK,Heilbronn,76.8,334388.0
5370,LK,Heinsberg,-76.4,252527.0
3154,LK,Helmstedt,-92.4,91500.0
5758,LK,Herford,-77.0,252122.0
5916,SK,Herne,-62.8,155851.0
6632,LK,Hersfeld-Rotenburg,-71.7,121166.0
1053,LK,Herzogtum,85.0,192999.0
16069,LK,Hildburghausen,-71.6,64524.0
3254,LK,Hildesheim,-94.2,277055.0
5958,LK,Hochsauerlandkreis,-57.4,263762.0
6434,LK,Hochtaunuskreis,60.4,233427.0
9464,SK,Hof,92.30000000000001,44660.0
9475,LK,Hof,93.7,96429.0
8126,LK,Hohenlohekreis,-68.3,110181.0
3255,LK,Holzminden,-93.9,71659.0
5762,LK,Höxter,-79.8,144010.0
16070,LK,Ilm-Kreis,89.60000000000001,109620.0
9161,SK,Ingolstadt,62.2,132438.0
16053,SK,Jena,86.8,109527.0
15086,LK,Jerichower,-96.7,91693.0
7312,SK,Kaiserslautern,82.6,98520.0
7335,LK,Kaiserslautern,66.8,104966.0
8212,SK,Karlsruhe,-90.8,307755.0
8215,LK,Karlsruhe,-76.9,435841.0
6611,SK,Kassel,74.5,197984.0
6633,LK,Kassel,-70.7,235813.0
9762,SK,Kaufbeuren,85.3,42731.0
9273,LK,Kelheim,58.599999999999994,118965.0
9763,SK,Kempten,100.0,66947.0
1002,SK,Kiel,93.0,246306.0
9675,LK,Kitzingen,97.1,89306.0
5154,LK,Kleve,-92.4,310337.0
7111,SK,Koblenz,57.99999999999999,112586.0
8335,LK,Konstanz,-85.9,280288.0
5114,SK,Krefeld,-82.6,225144.0
9476,LK,Kronach,62.7,67916.0
9477,LK,Kulmbach,-87.7,72468.0
7336,LK,Kusel,56.2,70997.0
16065,LK,Kyffhäuserkreis,66.4,77110.0
5315,SK,Köln,51.6,1060582.0
6532,LK,Lahn-Dill-Kreis,-86.7,253167.0
7313,SK,Landau,99.0,45362.0
9181,LK,Landsberg,99.8,117657.0
9261,SK,Landshut,-65.30000000000001,69211.0
9274,LK,Landshut,-65.69999999999999,154577.0
3457,LK,Leer,94.19999999999999,167548.0
14713,SK,Leipzig,70.89999999999999,560472.0
14729,LK,Leipzig,64.0,258408.0
5316,SK,Leverkusen,76.5,163487.0
9478,LK,Lichtenfels,84.0,66655.0
6533,LK,Limburg-Weilburg,-63.1,171922.0
9776,LK,Lindau,93.2,80429.0
5766,LK,Lippe,-80.9,350750.0
8118,LK,Ludwigsburg,-63.1,534074.0
7314,SK,Ludwigshafen,68.89999999999999,164718.0
13076,LK,LudwigslustParchim,73.4,214113.0
8336,LK,Lörrach,-52.6,226708.0
1003,SK,Lübeck,69.3,216253.0
3354,LK,Lüchow-Dannenberg,-51.5,50128.0
3355,LK,Lüneburg,-51.800000000000004,180719.0
15003,SK,Magdeburg,-50.1,235723.0
6435,LK,Main-Kinzig-Kreis,-98.0,411956.0
9677,LK,Main-Spessart,-99.1,126123.0
8128,LK,Main-Tauber-Kreis,-96.7,132181.0
6436,LK,Main-Taunus-Kreis,-99.7,232848.0
7315,SK,Mainz,86.1,209779.0
7339,LK,Mainz-Bingen,84.6,208749.0
8222,SK,Mannheim,52.5,305780.0
15087,LK,Mansfeld-Südharz,96.5,141408.0
6534,LK,Marburg-Biedenkopf,-86.7,245241.0
7137,LK,Mayen-Koblenz,93.30000000000001,211925.0
13071,LK,Mecklenburgische,99.3,262517.0
