,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Day Prediction Mean,Trend 7Day Prediction Mean 100k,Trend 7Day Prediction Q25,Trend 7Day Prediction Q25 100k,Trend 7Day Prediction Q75,Trend 7Day Prediction Q75 100k,Trend 7Day Prediction Q5,Trend 7Day Prediction Q5 100k,Trend 7Day Prediction Q95,Trend 7Day Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2022-01-13,133.56866,100.49027623608708,73,54.92149235989377,178,133.91815945289167,28,21.065777891466105,327,246.0181918039077,112.261696,84.4599970150739,56,42.13155578293221,150,112.85238156142556,22,16.551682629009083,286,215.17187417711804,,,,,,,,,,,114.0,,False,False,False
2022-01-14,109.294815,82.22786709666252,51,38.36980973088469,142,106.83358787814952,21,15.799333418599575,271,203.88663602097552,110.75374,83.32548895850778,52,39.122158941294195,146,109.84298471978754,23,17.304031839418585,263,197.86784233769947,,,,,,,,,,,101.0,,False,False,False
2022-01-15,65.01201,48.911734484136105,34,25.579873153923128,87,65.45438130562682,13,9.780539735323549,156,117.36647682388256,109.335365,82.25837373174727,56,42.13155578293221,140,105.3288894573305,24,18.05638104982809,263,197.86784233769947,,,,,,,,,,,82.0,,False,False,False
2022-01-16,55.422714,41.69723542872816,29,21.818127101875607,70,52.66444472866525,11,8.275841314504541,126,94.79600051159747,108.0035,81.2563521321863,54,40.6268573621132,148,111.34768314060655,22,16.551682629009083,259,194.85844549606145,,,,,,,,,,,69.0,,False,False,False
2022-01-17,79.268005,59.63722360320389,40,30.093968416380147,103,77.49196867217888,16,12.037587366552058,176,132.41346103207266,106.75505,80.31707839109004,55,41.379206572522705,143,107.58593708855902,24,18.05638104982809,242,182.06850891909988,,,,,,,,,,,53.0,,False,False,False
2022-01-18,137.42535,103.39185828343034,71,53.41679393907476,187,140.6893023465772,28,21.065777891466105,342,257.30342996005027,105.587364,79.43856762722135,55,41.379206572522705,138,103.8241910365115,22,16.551682629009083,252,189.59200102319494,,,,,,,,,,,104.0,,False,False,False
2022-01-19,151.84262,114.23868127167225,82,61.692635253579304,199,149.71749287149123,34,25.579873153923128,340,255.79873153923123,104.497856,78.6188815254718,53,39.874508151703694,139,104.576540246921,23,17.304031839418585,246,185.0779057607379,757.1944632568359,569.6746565577284,563.0,423.57260546055056,929.0,698.932416470429,405.0,304.701430215849,1243.0,935.1700685390131,110.0,633.0,False,False,False
2022-01-20,149.08784,112.16612765565515,78,58.68323841194128,192,144.45104839862472,35,26.332222364332626,341,256.55108074964073,103.48443,77.85642519593239,55,41.379206572522705,140,105.3288894573305,23,17.304031839418585,236,177.55441365664288,748.4172807006836,563.0711501919872,555.0,417.5538117772745,901.0,677.8666385789628,414.0,311.47257310953455,1205.0,906.5807985434519,136.0,655.0,False,False,False
2022-01-21,121.204796,91.18833113461733,64,48.15034946620823,158,118.87117524470158,27,20.3134286810566,286,215.17187417711804,102.54466,77.14939420111477,53,39.874508151703694,135,101.567143405283,21,15.799333418599575,244,183.5732073399189,740.2082706298828,556.8951079469766,572.0,430.3437483542361,878.0,660.5626067395442,422.0,317.49136679281054,1158.0,871.2203856542053,114.0,668.0,False,False,False
2022-01-22,74.037315,55.7019142434001,38,28.589269995561143,96,72.22552419931236,16,12.037587366552058,167,125.6423181383871,101.6768,76.49646140635014,56,42.13155578293221,130,97.80539735323548,25,18.808730260237592,232,174.54501681500486,732.5496520690918,551.133152319938,565.0,425.0773038813696,876.0,659.0579083187253,410.0,308.46317626789653,1153.0,867.4586396021579,92.0,678.0,False,False,False
2022-01-23,59.822323,45.00727809499949,33,24.827523943513622,80,60.18793683276029,14,10.532888945733053,142,106.83358787814952,100.87867,75.89598535560071,52,39.122158941294195,134,100.8147941948735,22,16.551682629009083,228,171.53561997336683,725.4249855041504,545.7729150553732,563.0,423.57260546055056,874.0,657.5532098979062,424.0,318.99606521362955,1125.0,846.3928617106917,58.0,667.0,False,False,False
2022-01-24,81.10648,61.020400607958436,44,33.103365258018165,110,82.75841314504541,19,14.294634997780571,189,142.1940007673962,100.149124,75.34711621701717,55,41.379206572522705,131,98.55774656364498,20,15.046984208190073,238,179.0591120774619,718.819115447998,540.8029939345591,572.0,430.3437483542361,853.0,641.7538764793067,411.0,309.215525478306,1104.0,830.593528292092,52.0,666.0,False,False,False
2022-01-25,140.7367,105.88314617052674,73,54.92149235989377,186,139.9369531361677,31,23.322825522694615,326,245.2658425934982,99.48639,74.84850357286632,50,37.617460520475184,127,95.54834972200696,21,15.799333418599575,224,168.52622313172884,712.7181076660156,536.2129055470824,569.0,428.0867007230076,827.0,622.1927970086596,419.0,315.23431916158205,1101.0,828.3364806608636,124.0,686.0,False,False,False
2022-01-26,149.68042,112.61194013059139,79,59.43558762235079,207,155.73628655476728,35,26.332222364332626,354,266.33162048496433,98.88904,74.39908804371953,50,37.617460520475184,133,100.062444984464,21,15.799333418599575,226,170.03092155254782,707.1091913757324,531.9930418048349,564.0,424.32495467096004,825.0,620.6880985878405,415.0,312.224922319944,1078.0,811.032448821445,162.0,738.0,False,False,False
2022-01-27,150.02078,112.8680189140141,78,58.68323841194128,207,155.73628655476728,31,23.322825522694615,346,260.3128268016883,98.356064,73.99810710921884,54,40.6268573621132,132,99.31009577405449,25,18.808730260237592,223,167.77387392131934,701.9807165832519,528.1346378441071,562.0,422.82025625014103,825.0,620.6880985878405,416.0,312.97727153035356,1069.0,804.2613059277594,136.0,738.0,False,False,False
2022-01-28,120.63338,90.75842681340873,59,44.38860341416072,154,115.86177840306355,25,18.808730260237592,266,200.124889968928,97.88605,73.64448974840343,49,36.86511131006568,129,97.05304814282597,20,15.046984208190073,224,168.52622313172884,697.3221024169922,524.6297331545192,552.0,415.296764146046,818.0,615.421654114974,403.0,303.19673179502996,1089.0,819.3082901359495,116.0,740.0,False,False,False
2022-01-29,73.66544,55.422139121219516,37,27.836920785151637,97,72.97787340972187,16,12.037587366552058,171,128.65171498002513,97.47846,73.33784596994519,48,36.11276209965618,130,97.80539735323548,20,15.046984208190073,212,159.49803260681477,693.1238056030273,521.4711478614679,542.0,407.77327204195103,812.0,610.907558852517,399.0,300.18733495339194,1076.0,809.527750400626,86.0,734.0,False,False,False
