countyID,LKType,LKName,probText,n_people
16076,LK,Greiz,-53.699999999999996,101114.0
6433,LK,Groß-Gerau,-51.4,266042.0
8117,LK,Göppingen,93.60000000000001,252749.0
14626,LK,Görlitz,-51.7,260000.0
3159,LK,Göttingen,-51.2,329538.0
9774,LK,Günzburg,-52.2,123153.0
5754,LK,Gütersloh,-53.1,360642.0
5914,SK,Hagen,-51.800000000000004,189044.0
15002,SK,Halle,-51.1,236991.0
2000,SK,Hamburg,98.6,1787408.0
3252,LK,Hameln-Pyrmont,-51.4,148281.0
5915,SK,Hamm,-52.400000000000006,179397.0
3241,Region,Hannover,-55.6,1144481.0
3353,LK,Harburg,-52.900000000000006,248122.0
15085,LK,Harz,-51.1,221366.0
12063,LK,Havelland,-51.9,158236.0
9674,LK,Haßberge,-54.3,84581.0
3358,LK,Heidekreis,-53.8,140264.0
8221,SK,Heidelberg,-53.9,156267.0
8135,LK,Heidenheim,-51.2,130527.0
8121,SK,Heilbronn,-53.9,122567.0
8125,LK,Heilbronn,99.1,334388.0
5370,LK,Heinsberg,100.0,252527.0
3154,LK,Helmstedt,-52.300000000000004,91500.0
5758,LK,Herford,-53.5,252122.0
5916,SK,Herne,-53.1,155851.0
6632,LK,Hersfeld-Rotenburg,-53.599999999999994,121166.0
1053,LK,Herzogtum,-53.5,192999.0
16069,LK,Hildburghausen,-53.599999999999994,64524.0
3254,LK,Hildesheim,-56.4,277055.0
5958,LK,Hochsauerlandkreis,-51.2,263762.0
6434,LK,Hochtaunuskreis,-51.6,233427.0
9464,SK,Hof,-52.300000000000004,44660.0
9475,LK,Hof,50.1,96429.0
8126,LK,Hohenlohekreis,-53.5,110181.0
3255,LK,Holzminden,-52.5,71659.0
5762,LK,Höxter,-52.5,144010.0
16070,LK,Ilm-Kreis,-50.8,109620.0
9161,SK,Ingolstadt,-53.3,132438.0
16053,SK,Jena,-50.6,109527.0
15086,LK,Jerichower,-51.4,91693.0
7312,SK,Kaiserslautern,100.0,98520.0
7335,LK,Kaiserslautern,-53.0,104966.0
8212,SK,Karlsruhe,-51.4,307755.0
8215,LK,Karlsruhe,-52.900000000000006,435841.0
6611,SK,Kassel,-50.2,197984.0
6633,LK,Kassel,-52.7,235813.0
9762,SK,Kaufbeuren,-50.6,42731.0
9273,LK,Kelheim,-54.199999999999996,118965.0
9763,SK,Kempten,-51.2,66947.0
1002,SK,Kiel,-50.7,246306.0
9675,LK,Kitzingen,-54.6,89306.0
5154,LK,Kleve,-52.900000000000006,310337.0
7111,SK,Koblenz,-54.1,112586.0
8335,LK,Konstanz,-50.5,280288.0
5114,SK,Krefeld,-54.0,225144.0
9476,LK,Kronach,-51.0,67916.0
9477,LK,Kulmbach,-50.1,72468.0
