,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Day Prediction Mean,Trend 7Day Prediction Mean 100k,Trend 7Day Prediction Q25,Trend 7Day Prediction Q25 100k,Trend 7Day Prediction Q75,Trend 7Day Prediction Q75 100k,Trend 7Day Prediction Q5,Trend 7Day Prediction Q5 100k,Trend 7Day Prediction Q95,Trend 7Day Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2022-05-16,140.69283,74.4233198929578,27,14.28238928503417,168,88.86819999576818,4,2.115909523708766,494,261.3148261780326,86.737625,45.882241101935506,18,9.521592856689448,111,58.71648928291826,3,1.5869321427815746,311,164.51196546835658,,,,,,,,,,,158.0,,False,False,False
2022-05-17,123.53567,65.34757558256388,25,13.224434523179788,150,79.34660713907873,3,1.5869321427815746,396,209.47504284716786,81.73052,43.23359753470868,16,8.463638094835064,103,54.48467023550072,2,1.057954761854383,276,145.99775713590486,,,,,,,,,,,140.0,,False,False,False
2022-05-18,113.8142,60.20513828843832,21,11.108524999471022,144,76.17274285351559,3,1.5869321427815746,410,216.88072618014854,77.153076,40.812231600284576,15,7.934660713907872,95,50.2528511880832,2,1.057954761854383,268,141.76593808848733,,,,,,,,,,,111.0,,False,False,False
2022-05-19,109.51505,57.930988259613514,21,11.108524999471022,138,72.99887856795243,3,1.5869321427815746,397,210.00402022809504,72.96532,38.59700227621943,18,9.521592856689448,98,51.839783330864776,3,1.5869321427815746,245,129.59945832716193,,,,,,,,,,,79.0,,False,False,False
2022-05-20,83.010414,43.91063121147454,16,8.463638094835064,104,55.013647616427924,2,1.057954761854383,270,142.82389285034174,69.131226,36.56885528471321,18,9.521592856689448,92,48.66591904530162,2,1.057954761854383,212,112.14320475656461,,,,,,,,,,,80.0,,False,False,False
2022-05-21,35.8269,18.95161985885352,8,4.231819047417532,48,25.390914284505193,1,0.5289773809271915,122,64.53524047311737,65.61858,34.710747422650456,14,7.405683332980682,84,44.43409999788409,2,1.057954761854383,212,112.14320475656461,,,,,,,,,,,0.0,,False,False,False
2022-05-22,9.340124,4.940714279655367,2,1.057954761854383,12,6.347728571126298,0,0.0,32,16.927276189670128,62.398872,33.0075912643224,16,8.463638094835064,81,42.84716785510251,2,1.057954761854383,208,110.02729523285585,515.7352465057373,272.8122799484445,295.0,156.04832737352152,656.0,347.00916188823766,159.0,84.10740356742346,1126.0,595.6285309240177,0.0,568.0,False,False,False
2022-05-23,154.73471,81.85116457752883,33,17.456253570597323,218,115.31706904212777,5,2.6448869046359578,517,273.48130593935804,59.446186,31.445687636733055,12,6.347728571126298,77,40.731258331393754,2,1.057954761854383,185,97.86081547153043,488.44376683044436,258.37570450818026,281.0,148.64264404054083,599.0,316.8574511753877,159.0,84.10740356742346,984.0,520.5137428323566,153.0,563.0,False,False,False
2022-05-24,116.39928,61.57258176244795,27,14.28238928503417,147,77.75967499629716,3,1.5869321427815746,343,181.4392416580267,56.737564,30.01288860104978,14,7.405683332980682,80,42.318190474175324,2,1.057954761854383,195,103.15058928080235,463.4508274688721,245.15500490302367,279.0,147.58468927868645,583.0,308.39381308055266,159.0,84.10740356742346,966.0,510.992149975667,108.0,531.0,False,False,False
2022-05-25,86.98882,46.015120460651815,20,10.579547618543831,115,60.83239880662703,2,1.057954761854383,284,150.2295761833224,54.252354,28.69826857931912,12,6.347728571126298,74,39.144326188612176,2,1.057954761854383,188,99.44774761431201,440.550032989502,233.0410026181746,277.0,146.52673451683208,557.0,294.6404011764457,155.0,81.9914940437147,874.0,462.3262309303654,67.0,487.0,False,False,False
