,countyID,newInf100k,7DayInf100k,newInf100k_RKI,7DayInf100k_RKI,newInfRaw,7DayInfRaw,newInf100kRaw_RKI,7DayInf100kRaw_RKI
309,09479,29.54342688271002,104.62253193960511,13.664002186240351,68.32001093120175,21.621356964111328,76.568,10,50.0
310,01002,14.895030994577438,48.529471470447334,5.277987543949396,45.065893644491,36.687355041503906,119.531,13,111.0
311,05334,121.90154966820688,349.8837381436376,21.66369994331332,212.84585194305336,675.239501953125,1938.083,120,1179.0
312,07143,56.84347238696911,152.5651266587453,14.9773841499336,102.84470449621072,113.85861206054688,305.591,30,206.0
313,07132,64.95085937288313,183.01089253779872,7.741675763135688,86.70676854711971,83.89767456054688,236.397,10,112.0
314,09278,35.743863177758456,114.05582656923669,24.29002287310487,99.18426006517824,35.317081451416016,112.694,24,98.0
315,09279,35.15590689452461,117.27344214911163,20.19042761200374,103.0774462297033,33.08311462402344,110.359,19,97.0
316,09274,43.566356504868935,149.18066724027506,25.877070974336416,119.68145325630593,67.34356689453125,230.599,40,185.0
317,09173,41.25569596317688,127.8796125830465,16.809413271432,113.66365164492116,51.540740966796875,159.76,21,142.0
318,09190,72.55878763923727,219.57097497479418,28.591636194001776,145.21541540637742,96.43498229980469,291.823,38,193.0
319,10041,75.40047791396131,242.2392937870365,20.77096951554768,182.0514386950944,246.84608459472656,793.043,68,596.0
320,08317,52.81699008353881,173.97252122083475,29.040289831613922,146.15358980828648,221.88734436035156,730.869,122,614.0
321,08316,58.33934615844285,194.87358250761963,28.9976678471391,173.3690354265125,94.55757904052734,315.855,47,281.0
322,05962,69.28352808344556,185.1193379644425,14.176864798364134,144.65207811212218,288.33795166015625,770.413,59,602.0
323,09182,84.7723880748649,244.52007406955212,21.366216958671632,142.4414463911442,83.31938934326172,240.329,21,140.0
324,06411,52.99148893027593,191.23351335345953,16.73607847933416,169.93556609785455,82.32386779785156,297.087,26,264.0
325,05111,75.66340217198879,269.69672219517855,32.18018288798356,222.1576077546073,463.1947021484375,1651.024,197,1360.0
326,05158,45.79952631872098,163.3230494186588,33.31408979078338,198.8499396828747,221.33949279785156,789.306,161,961.0
327,05513,118.41953258599966,364.14113869599953,34.182388004670315,254.63958704602715,308.3265686035156,948.107,89,663.0
328,05916,84.32682134598912,287.37704602472877,19.249154641292,273.3379959063464,131.4241943359375,447.88,30,426.0
329,09772,58.98803064799853,193.18485342019542,33.79478827361564,215.79804560260587,144.87460327148438,474.462,83,530.0
330,09472,69.99194518037673,184.87047724963088,19.174352386248156,92.99560907330354,73.00579833984375,192.831,20,97.0
331,03403,29.37818675194585,92.50442531892817,21.363608618690105,105.5972654580968,48.13028335571289,151.55,35,173.0
332,03451,47.825305847778644,116.39395561411455,9.881829785481946,64.23189360563265,58.07666015625,141.343,12,78.0
333,03457,6.871063847516423,31.873254231623175,12.533721679757443,47.15066727146848,11.512330055236816,53.403,21,79.0
334,05362,35.363267184069684,132.37474204822814,21.214725162164076,171.43212252253795,165.02516174316406,617.736,99,800.0
335,14626,76.56473599947415,249.41384615384615,0.0,134.6153846153846,199.0683135986328,648.476,0,350.0
336,05978,64.95859167622102,208.82043253752823,0.0,173.9745224538235,257.2587585449219,827.002,0,689.0
337,07137,22.371773395221076,73.25044237348118,23.121387283236995,98.61979473870474,47.411380767822266,155.236,49,209.0
338,07138,33.442564375661654,106.90321330713239,19.37394481193435,118.45783399297002,60.41566467285156,193.126,35,214.0
339,09761,68.46480980421092,296.20775629072466,36.316146018842495,327.89289530474133,196.06541442871094,848.262,104,939.0
340,09771,49.116829363926584,165.72535060649577,36.66473158361086,200.89217513520123,64.30178833007812,216.961,48,263.0
341,10043,31.21855138872175,126.9540509215987,11.216211163868845,177.96388380005234,41.75012969970703,169.782,15,238.0
342,10045,37.98147931951404,130.8388203397333,23.515741714159244,138.32789243623085,54.91514205932617,189.172,34,200.0
343,09189,88.3934934007203,253.44219749428694,55.69527221782019,213.59423984566092,153.9478759765625,441.4,97,372.0
344,03157,49.8504996155597,144.3991837968561,37.03143893591294,117.14026602176541,65.9621810913086,191.069,49,155.0
345,03254,102.14562911837226,262.16419122556897,9.745357420006858,101.78484416451607,282.99957275390625,726.339,27,282.0
346,03241,31.333206938136694,119.7202050536444,15.72765297108471,126.52023056739256,358.60260009765625,1370.175,180,1448.0
347,01061,7.641953778582303,25.870817073263503,3.8035251070692317,18.256920513932315,10.045883178710938,34.009,5,24.0
348,01051,16.72062283018153,59.78693470361202,4.5140952624570225,39.122158941294195,22.224550247192383,79.467,6,52.0
349,09573,30.44657177311848,115.0458041315589,24.49886692740461,157.49271596188677,34.797691345214844,131.487,28,180.0
350,09564,60.59818893351084,208.82141281435364,22.942301093190842,184.32276091965292,309.0356140136719,1064.937,117,940.0
351,08236,73.09391577047079,222.13132312588618,20.911325778054326,163.2103475360338,143.31231689453125,435.524,41,320.0
352,08115,76.81577948231586,234.05152630212365,25.965101854013184,187.00118810011514,292.88397216796875,892.394,99,713.0
353,09678,73.97776258961242,253.27358400181163,27.871408290002,171.58335728532484,84.93608856201172,290.791,32,197.0
354,09662,102.69990973246972,324.39531259019805,48.10560141622891,207.8161981181089,53.37211608886719,168.585,25,108.0
355,09462,76.15031520325137,217.0150246715086,19.404557298885624,106.72506514387092,54.9409294128418,156.572,14,77.0
356,05515,27.906374727567034,94.92257425678706,9.998742093736594,113.53410377404133,86.52064514160156,294.297,31,352.0
357,05570,43.992473609816216,144.00805966168164,45.777148191802645,186.3526426390706,122.04875946044922,399.523,127,517.0
358,05314,33.762702604348824,120.3410192309502,20.074715582056967,131.11298614530958,107.63853454589844,383.658,64,418.0
359,05382,43.523592516498404,141.2121171460535,30.190552705157387,152.79774174665766,259.4933166503906,841.925,180,911.0
360,05315,144.61427119143073,428.3813981380035,32.340733672643886,213.18483625028523,1533.7529296875,4543.336,343,2261.0
361,15091,45.061287043222656,104.26245844589597,7.006781006952283,49.047467048665986,57.8798713684082,133.922,9,63.0
362,05120,155.56417596600483,423.8778436332752,40.18301537000338,249.3173453638846,170.34121704101562,464.142,44,273.0
363,14612,55.106544661224895,181.88976233163243,6.4358938996919965,107.38748678343217,299.68316650390625,989.162,35,584.0
364,14625,88.76184863182723,283.8043183695592,68.23977301296556,315.07837778713764,271.85357666015625,869.216,209,965.0
