,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Day Prediction Mean,Trend 7Day Prediction Mean 100k,Trend 7Day Prediction Q25,Trend 7Day Prediction Q25 100k,Trend 7Day Prediction Q75,Trend 7Day Prediction Q75 100k,Trend 7Day Prediction Q5,Trend 7Day Prediction Q5 100k,Trend 7Day Prediction Q95,Trend 7Day Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2022-03-21,195.1331,272.30787090957165,69,96.28937049079668,247,344.68803639459105,19,26.514464338045464,534,745.1959977113831,180.1306,251.3719256967306,61,85.1253855063565,237,330.7330551640408,15,20.93247184582537,562,784.2699451569239,,,,,,,,,,,110.0,,False,False,False
2022-03-22,243.47743,339.7722961381078,90,125.59483107495221,333,464.70087497732317,25,34.887453076375614,695,969.871195523242,176.45953,246.24895304441452,57,79.5433930141364,214,298.6365983337752,14,19.53697372277034,444,619.6011666364309,,,,,,,,,,,354.0,,False,False,False
2022-03-23,279.81335,390.479015186429,116,161.87778227438284,413,576.3407248217252,34,47.44693618387083,815,1137.330970289845,173.0234,241.45382922142744,63,87.91638175246655,230,320.96456830265566,20,27.909962461100488,491,685.189578420017,,,,,,,,,,,309.0,,False,False,False
2022-03-24,263.1617,367.2416787594557,97,135.36331793633738,357,498.1928299306437,25,34.887453076375614,694,968.475697400187,169.80963,236.96902208030224,60,83.72988738330147,229,319.5690701796006,19,26.514464338045464,485,676.8165896816869,,,,,,,,,,,244.0,,False,False,False
2022-03-25,199.07178,277.8042806312442,78,108.84885359829191,270,376.78449322485665,26,36.28295119943064,546,761.9419751880433,166.80598,232.77744185179472,58,80.93889113719142,219,305.61408894905037,15,20.93247184582537,462,644.7201328514213,,,,,,,,,,,252.0,,False,False,False
2022-03-26,114.221344,159.39567238092422,47,65.58841178358615,162,226.07069593491394,13,18.14147559971532,322,449.35039562371793,164.0014,228.86365186423063,61,85.1253855063565,219,305.61408894905037,14,19.53697372277034,445,620.9966647594858,,,,,,,,,,,243.0,,False,False,False
2022-03-27,47.699924,66.5651576127857,17,23.723468091935416,60,83.72988738330147,4,5.581992492220098,129,180.01925787409814,161.38524,225.21279752254486,63,87.91638175246655,211,294.45010396461015,16,22.327969968880392,421,587.5047098061654,1191.6155108642579,1662.897208814326,775.0,1081.5110453676439,1410.0,1967.6523535075846,514.0,717.2860352502826,2237.0,3121.7293012740897,0.0,1512.0,False,False,False
2022-03-28,215.50902,300.7424296811223,81,113.03534796745697,281,392.13497257846194,24,33.49195495332059,594,828.9258850946845,158.94806,221.81172389537096,65,90.70737799857659,213,297.2411002107202,16,22.327969968880392,433,604.2506872828257,1170.4329294433594,1633.336956200002,777.0,1084.302041613754,1394.0,1945.3243835387043,520.0,725.6590239886127,2153.0,3004.507458937468,106.0,1508.0,False,False,False
2022-03-29,243.58148,339.91748932749033,94,131.1768235671723,316,440.9774068853877,26,36.28295119943064,658,918.2377649702062,156.68076,218.64769514650106,59,82.33438926024644,215,300.0320964568303,18,25.118966214990444,434,605.6461854058806,1150.654143737793,1605.7356978715766,776.0,1082.906543490699,1376.0,1920.2054173237136,541.0,754.9644845727682,2060.0,2874.7261334933505,367.0,1521.0,False,False,False
2022-03-30,259.3111,361.86815705150366,96,133.96781981328235,350,488.42434306925855,26,36.28295119943064,723,1008.9451429687826,154.57448,215.70839453488588,56,78.14789489108136,210,293.05460584155514,16,22.327969968880392,410,572.15423045256,1132.20540814209,1579.9905219750347,795.0,1109.4210078287445,1350.0,1883.922466124283,526.0,734.0320127269429,2048.0,2857.98015601669,227.0,1439.0,False,False,False
2022-03-31,229.56335,320.35522162914276,93,129.7813254441173,320,446.5593993776078,27,37.67844932248566,619,863.8133381710602,152.6222,212.98397332429886,63,87.91638175246655,207,288.86811147239007,18,25.118966214990444,418,583.3182154370002,1115.018106262207,1556.0056744612777,798.0,1113.6075021979095,1336.0,1864.3854924015127,527.0,735.4275108499979,1936.0,2701.6843662345273,239.0,1434.0,False,False,False
2022-04-01,168.69986,235.42034905403852,66,92.10287612163161,226,315.3825758104355,18,25.118966214990444,497,693.5625671583472,150.81625,210.463791154325,62,86.52088362941151,212,295.8456020876652,19,26.514464338045464,419,584.7137135600553,1099.0284088134765,1533.6920816833567,796.0,1110.8165059517994,1315.0,1835.0800318173572,550.0,767.5239676802635,1938.0,2704.4753624806376,172.0,1354.0,False,False,False
2022-04-02,96.081566,134.08164959400892,38,53.02892867609093,129,180.01925787409814,11,15.35047935360527,271,378.17999134791165,149.14996,208.13848823308945,59,82.33438926024644,197,274.91313024183984,18,25.118966214990444,377,526.1027923917442,1084.1769469604492,1512.9668945428336,803.0,1120.5849928131845,1307.0,1823.9160468329171,567.0,791.2474357721989,1830.0,2553.761565190695,145.0,1256.0,False,False,False
2022-04-03,40.27648,56.20575393550098,15,20.93247184582537,55,76.75239676802634,3,4.186494369165073,104,145.13180479772257,147.61676,205.99891431629658,57,79.5433930141364,195,272.12213399572977,15,20.93247184582537,387,540.0577736222945,1070.4085045776367,1493.7530590402275,798.0,1113.6075021979095,1294.0,1805.7745712332016,528.0,736.8230089730529,1811.0,2527.2471008526495,0.0,1256.0,False,False,False
2022-04-04,186.65172,260.4721114039421,75,104.66235922912684,250,348.8745307637561,20,27.909962461100488,536,747.986993957493,146.21106,204.037269577384,57,79.5433930141364,191,266.5401415035097,16,22.327969968880392,393,548.4307623606246,1057.6717238769531,1475.9789054786602,772.0,1077.324550998479,1271.0,1773.6781144029362,539.0,752.1734883266582,1770.0,2470.0316778073934,61.0,1211.0,False,False,False
2022-04-05,208.81467,291.40047263354063,78,108.84885359829191,285,397.716965070682,19,26.514464338045464,568,792.6429338952538,144.92769,202.24631298333406,55,76.75239676802634,201,280.4951227340599,15,20.93247184582537,419,584.7137135600553,1045.9188576660156,1459.57780274078,764.0,1066.1605660140387,1264.0,1763.909627541551,514.0,717.2860352502826,1767.0,2465.8451834382286,234.0,1078.0,False,False,False
2022-04-06,220.76123,308.0718917772174,81,113.03534796745697,295,411.67194630123225,22,30.70095870721054,574,801.015922633584,143.76123,200.61852410435677,52,72.56590239886128,191,266.5401415035097,14,19.53697372277034,385,537.2667773761843,1035.1055236816405,1444.4878154616176,742.0,1035.459607306828,1251.0,1745.7681519418354,504.0,703.3310540197324,1790.0,2497.9416402684938,156.0,1007.0,False,False,False
2022-04-07,196.57167,274.3154065683484,70,97.6848686138517,261,364.22501011736136,18,25.118966214990444,571,796.829428264419,142.70724,199.14768636226654,48,66.98390990664117,199,277.70412648794985,15,20.93247184582537,387,540.0577736222945,1025.1904903259278,1430.6514050236924,738.0,1029.877614814608,1244.0,1735.9996650804503,478.0,667.0481028203017,1787.0,2493.7551458993285,145.0,913.0,False,False,False
2022-04-08,144.49176,201.63797307759523,54,75.35689864497132,195,272.12213399572977,15,20.93247184582537,376,524.7072942686892,141.7612,197.82749004662037,53,73.9614005219163,191,266.5401415035097,16,22.327969968880392,398,555.4082529758997,1016.1354648132324,1418.0151339165106,727.0,1014.5271354610028,1221.0,1703.903208250185,487.0,679.6075859277969,1767.0,2465.8451834382286,140.0,881.0,False,False,False
