,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Week Prediction Mean,Trend 7Week Prediction Mean 100k,Trend 7Week Prediction Q25,Trend 7Week Prediction Q25 100k,Trend 7Week Prediction Q75,Trend 7Week Prediction Q75 100k,Trend 7Week Prediction Q5,Trend 7Week Prediction Q5 100k,Trend 7Week Prediction Q95,Trend 7Week Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2020-11-25,18.388208,8.58808562043123,10,4.670431034080136,25,11.67607758520034,4,1.868172413632054,43,20.082853446544583,13.4472685,6.280453817453235,7,3.2693017238560946,18,8.406775861344244,3,1.4011293102240405,31,14.478336205648418,,,,,,,,,,,17.0,,False,False,False
2020-11-26,21.452375,10.019184264820069,11,5.137474137488149,28,13.077206895424379,5,2.335215517040068,48,22.41806896358465,14.145168,6.606403621844947,7,3.2693017238560946,18,8.406775861344244,3,1.4011293102240405,30,14.011293102240405,,,,,,,,,,,42.0,,False,True,False
2020-11-27,18.442,8.613208774477243,10,4.670431034080136,24,11.209034481792324,5,2.335215517040068,40,18.681724136320543,14.88693,6.952838157303631,7,3.2693017238560946,19,8.873818964752257,3,1.4011293102240405,31,14.478336205648418,,,,,,,,,,,18.0,,False,False,False
2020-11-28,13.550774,6.32879527984187,7,3.2693017238560946,18,8.406775861344244,3,1.4011293102240405,30,14.011293102240405,15.675602,7.321182056330144,8,3.736344827264108,20,9.340862068160272,3,1.4011293102240405,36,16.813551722688487,,,,,,,,,,,5.0,,False,False,False
2020-11-29,10.438642,4.8752954171504825,5,2.335215517040068,14,6.538603447712189,2,0.934086206816027,22,10.274948274976298,16.514456,7.712962542427704,9,4.203387930672122,22,10.274948274976298,4,1.868172413632054,38,17.747637929504513,,,,,,,,,,,5.0,,False,False,False
2020-11-30,10.901521,5.091480124974623,6,2.802258620448081,14,6.538603447712189,2,0.934086206816027,25,11.67607758520034,17.407053,8.129844354698434,10,4.670431034080136,23,10.741991378384311,4,1.868172413632054,35,16.346508619280474,,,,,,,,,,,0.0,,False,False,False
2020-12-01,20.647078,9.6430754638277,12,5.604517240896162,28,13.077206895424379,5,2.335215517040068,43,20.082853446544583,18.357176,8.573592640459538,10,4.670431034080136,25,11.67607758520034,4,1.868172413632054,40,18.681724136320543,,,,,,,,,,,23.0,110.0,False,False,False
2020-12-02,25.78906,12.04460277222097,15,7.005646551120202,35,16.346508619280474,7,3.2693017238560946,56,26.154413790848757,19.368904,9.046112973010167,11,5.137474137488149,25,11.67607758520034,5,2.335215517040068,41,19.148767239728553,109.939,51.346251745573596,84.0,39.23162068627313,129.0,60.24856033963375,61.0,28.489629307888823,174.0,81.26549999299435,27.0,120.0,False,False,False
2020-12-03,30.371397,14.18475148966536,18,8.406775861344244,40,18.681724136320543,8,3.736344827264108,63,29.423715514704853,20.446684,9.549482638249174,12,5.604517240896162,27,12.610163792016365,5,2.335215517040068,42,19.615810343136566,115.862,54.11254804705926,89.0,41.5668362033132,134.0,62.58377585667382,66.0,30.824844824928892,180.0,84.06775861344244,28.0,106.0,False,False,False
2020-12-04,26.243475,12.256833724677563,16,7.472689654528216,34,15.879465515872461,7,3.2693017238560946,53,24.753284480624718,21.595238,10.085906978929415,13,6.071560344304175,29,13.544249998832393,6,2.802258620448081,44,20.549896549952596,122.146,57.047446908875216,96.0,44.8361379271693,142.0,66.32012068393792,70.0,32.69301723856095,182.0,85.00184482025847,32.0,120.0,False,False,False
2020-12-05,19.421751,9.070795204024762,12,5.604517240896162,26,12.14312068860835,5,2.335215517040068,43,20.082853446544583,22.81969,10.657779057510197,14,6.538603447712189,31,14.478336205648418,6,2.802258620448081,48,22.41806896358465,128.877,60.19111403791456,103.0,48.10543965102539,151.0,70.52350861461005,76.0,35.49527585900903,192.0,89.6722758543386,29.0,144.0,False,False,False
2020-12-06,15.00363,7.007341628195718,8,3.736344827264108,20,9.340862068160272,3,1.4011293102240405,33,15.412422412464446,24.125599,11.26769493566826,14,6.538603447712189,32,14.945379309056433,6,2.802258620448081,51,23.81919827380869,135.993,63.51459276176598,110.0,51.37474137488149,160.0,74.72689654528217,83.0,38.76457758286512,200.0,93.40862068160271,2.0,141.0,False,False,False
2020-12-07,15.698747,7.331991218961775,9,4.203387930672122,20,9.340862068160272,3,1.4011293102240405,34,15.879465515872461,25.51895,11.918449308723211,14,6.538603447712189,33,15.412422412464446,6,2.802258620448081,54,25.22032758403273,143.641,67.08653841663046,119.0,55.57812930555361,166.0,77.52915516573024,90.0,42.03387930672122,211.0,98.54609481909084,7.0,148.0,False,False,False
2020-12-08,30.118494,14.066635048948228,18,8.406775861344244,39,18.214681032912527,9,4.203387930672122,61,28.489629307888823,27.00615,12.613035505637527,15,7.005646551120202,35,16.346508619280474,8,3.736344827264108,56,26.154413790848757,151.731,70.8649171232013,126.0,58.847431029409705,175.0,81.73254309640237,97.0,45.30318103057731,223.0,104.15061205998701,52.0,177.0,False,False,False
2020-12-09,37.26909,17.406270490027964,21,9.807905171568283,48,22.41806896358465,10,4.670431034080136,77,35.962318962417044,28.594175,13.354711700230837,17,7.9397327579362305,38,17.747637929504513,8,3.736344827264108,61,28.489629307888823,160.372,74.90063657974994,133.0,62.116732753265794,184.0,85.93593102707449,102.0,47.63839654761738,233.0,108.82104309406715,56.0,206.0,False,False,False
2020-12-10,43.832893,20.47185116680339,25,11.67607758520034,57,26.621456894256774,11,5.137474137488149,96,44.8361379271693,30.290558,14.146996545605361,17,7.9397327579362305,40,18.681724136320543,8,3.736344827264108,69,32.22597413515294,169.603,79.21191146730932,142.0,66.32012068393792,195.0,91.07340516456264,109.0,50.90769827147347,243.0,113.49147412814729,43.0,221.0,False,False,False
2020-12-11,38.068348,17.779559129849076,22,10.274948274976298,49,22.88511206699266,11,5.137474137488149,83,38.76457758286512,32.10342,14.99368081567809,18,8.406775861344244,40,18.681724136320543,8,3.736344827264108,66,30.824844824928892,179.427,83.80014291518964,147.0,68.65533620097798,211.0,98.54609481909084,113.0,52.775870685105524,266.0,124.23346550653159,42.0,231.0,False,False,False
2020-12-12,28.264051,13.200529792811722,16,7.472689654528216,37,17.2805948260965,7,3.2693017238560946,59,27.5555431010728,34.041553,15.89887251611799,20,9.340862068160272,44,20.549896549952596,10,4.670431034080136,76,35.49527585900903,189.948,88.71390340614535,154.0,71.92463792483409,221.0,103.21652585317099,119.0,55.57812930555361,279.0,130.3050258508358,57.0,259.0,False,False,False
2020-12-13,21.830244,10.195664799539372,12,5.604517240896162,29,13.544249998832393,5,2.335215517040068,47,21.951025860176635,36.11449,16.86702307779342,21,9.807905171568283,47,21.951025860176635,8,3.736344827264108,75,35.02823275560102,201.182,93.96066562983097,165.0,77.06211206232223,235.0,109.75512930088318,126.0,58.847431029409705,296.0,138.244758608772,4.0,261.0,False,False,False
2020-12-14,23.114643,10.795534763019532,12,5.604517240896162,30,14.011293102240405,6,2.802258620448081,50,23.35215517040068,38.33245,17.902906984090805,22,10.274948274976298,52,24.2862413772167,10,4.670431034080136,85,39.69866378968115,213.164,99.5567760948658,173.0,80.79845688958635,248.0,115.82668964518734,130.0,60.71560344304176,312.0,145.7174482633002,6.0,260.0,False,False,False
2020-12-15,44.80461,20.925684657413512,25,11.67607758520034,60,28.02258620448081,11,5.137474137488149,100,46.70431034080136,40.70668,19.011774566024542,22,10.274948274976298,52,24.2862413772167,10,4.670431034080136,82,38.297534479457106,225.992,105.54800502538379,183.0,85.46888792366647,266.0,124.23346550653159,135.0,63.05081896008182,335.0,156.45943964168455,47.0,255.0,False,False,False
2020-12-16,56.574165,26.42257313709706,32,14.945379309056433,74,34.561189652193,15,7.005646551120202,130,60.71560344304176,43.249146,20.199215214233845,22,10.274948274976298,54,25.22032758403273,10,4.670431034080136,95,44.36909482376128,239.683,111.9422921541429,192.0,89.6722758543386,279.0,130.3050258508358,139.0,64.91899137371388,366.0,170.93777584733294,67.0,266.0,True,False,False
2020-12-17,66.92392,31.25635557807982,37,17.2805948260965,87,40.632749996497175,16,7.472689654528216,148,69.122379304386,45.97304,21.47139166481793,25,11.67607758520034,59,27.5555431010728,11,5.137474137488149,99,46.23726723739334,254.33,118.78307248976009,201.0,93.87566378501072,293.0,136.84362929854797,145.0,67.72124999416197,393.0,183.54793963934932,37.0,260.0,True,False,False
2020-12-18,57.922226,27.05217630136758,32,14.945379309056433,74,34.561189652193,14,6.538603447712189,130,60.71560344304176,48.89241,22.834862465970218,27,12.610163792016365,63,29.423715514704853,12,5.604517240896162,109,50.90769827147347,270.029,126.11518217016248,211.0,98.54609481909084,312.0,145.7174482633002,152.0,70.99055171801805,425.0,198.49331894840572,29.0,247.0,True,False,False
2020-12-19,42.839092,20.0077032786794,23,10.741991378384311,57,26.621456894256774,10,4.670431034080136,97,45.30318103057731,52.02271,24.296846822835505,26,12.14312068860835,66,30.824844824928892,12,5.604517240896162,113,52.775870685105524,286.816,133.9554347470728,219.0,102.28243964635496,333.0,155.5253534348685,155.0,72.39168102824209,461.0,215.30687067109426,25.0,215.0,True,False,False
2020-12-20,33.29937,15.552241529803723,18,8.406775861344244,45,21.01693965336061,7,3.2693017238560946,80,37.36344827264109,55.38055,25.865103816613555,30,14.011293102240405,71,33.16006034196896,12,5.604517240896162,130,60.71560344304176,304.775,142.3430618411773,226.0,105.55174137021105,355.0,165.8003017098448,158.0,73.79281033846614,492.0,229.78520687674265,11.0,222.0,True,False,False
2020-12-21,35.404625,16.535485337954015,18,8.406775861344244,47,21.951025860176635,8,3.736344827264108,84,39.23162068627313,58.984,27.548070647753775,31,14.478336205648418,78,36.42936206582505,15,7.005646551120202,138,64.45194827030588,324.043,151.34204835764294,235.0,109.75512930088318,383.0,178.87750860526918,165.0,77.06211206232223,541.0,252.67031894373534,,,False,False,True
2020-12-22,67.62541,31.583983218297362,36,16.813551722688487,90,42.03387930672122,17,7.9397327579362305,162,75.66098275209819,62.852856,29.35499360319227,32,14.945379309056433,80,37.36344827264109,13,6.071560344304175,160,74.72689654528217,344.716,160.99723043439678,247.0,115.35964654177936,413.0,192.88880170750957,171.0,79.86437068277031,605.0,282.5610775618482,,,False,False,True
2020-12-23,85.66276,40.008200448937714,43,20.082853446544583,110,51.37474137488149,20,9.340862068160272,200,93.40862068160271,67.00818,31.29570686724037,35,16.346508619280474,90,42.03387930672122,15,7.005646551120202,161,75.19393964869018,366.863,171.34083404557407,257.0,120.03007757585948,443.0,206.90009480975,170.0,79.3973275793623,642.0,299.84167238794464,,,False,False,True
2020-12-24,103.2704,48.23172930628061,52,24.2862413772167,137,63.98490516689785,24,11.209034481792324,256,119.56303447245146,71.47337,33.38114474900067,35,16.346508619280474,90,42.03387930672122,17,7.9397327579362305,173,80.79845688958635,390.602,182.4279702773769,275.0,128.43685343720372,470.0,219.51025860176637,179.0,83.60071551003442,711.0,332.0676465230976,,,False,False,True
2020-12-25,91.13485,42.56390384398401,46,21.483982756768622,121,56.512215512369636,20,9.340862068160272,220,102.74948274976298,76.2735,35.623012809082866,34,15.879465515872461,96,44.8361379271693,17,7.9397327579362305,179,83.60071551003442,416.111,194.34177280221192,294.0,137.31067240195597,500.0,233.52155170400678,189.0,88.27114654411456,760.0,354.95275859009024,,,False,False,True
