,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Week Prediction Mean,Trend 7Week Prediction Mean 100k,Trend 7Week Prediction Q25,Trend 7Week Prediction Q25 100k,Trend 7Week Prediction Q75,Trend 7Week Prediction Q75 100k,Trend 7Week Prediction Q5,Trend 7Week Prediction Q5 100k,Trend 7Week Prediction Q95,Trend 7Week Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2020-09-25,0.3259262,0.28984100026718806,0,0.0,0,0.0,0,0.0,2,1.7785682525566917,0.22942145,0.2040208528342191,0,0.0,0,0.0,0,0.0,1,0.8892841262783459,,,,,,,,,,,0.0,,False,False,False
2020-09-26,0.20920108,0.18603919897941523,0,0.0,0,0.0,0,0.0,1,0.8892841262783459,0.26889136,0.23912082269816892,0,0.0,0,0.0,0,0.0,1,0.8892841262783459,,,,,,,,,,,0.0,,False,False,False
2020-09-27,0.20232914,0.17992809944189503,0,0.0,0,0.0,0,0.0,1,0.8892841262783459,0.3157866,0.28082401968276827,0,0.0,0,0.0,0,0.0,2,1.7785682525566917,,,,,,,,,,,0.0,,False,False,False
2020-09-28,0.29142702,0.2591614247648977,0,0.0,0,0.0,0,0.0,1,0.8892841262783459,0.37160826,0.3304653318991768,0,0.0,0,0.0,0,0.0,2,1.7785682525566917,,,,,,,,,,,0.0,,False,False,False
2020-09-29,0.47297424,0.4206084668112453,0,0.0,1,0.8892841262783459,0,0.0,2,1.7785682525566917,0.43818355,0.38966968531894963,0,0.0,1,0.8892841262783459,0,0.0,2,1.7785682525566917,,,,,,,,,,,1.0,,False,False,False
2020-09-30,0.7547411,0.6711792593705468,0,0.0,1,0.8892841262783459,0,0.0,3,2.667852378835038,0.5177365,0.4604148671205621,0,0.0,1,0.8892841262783459,0,0.0,2,1.7785682525566917,,,,,,,,,,,0.0,,False,False,False
2020-10-01,0.84993637,0.7558349352621008,0,0.0,1,0.8892841262783459,0,0.0,3,2.667852378835038,0.6129825,0.545115608474589,0,0.0,1,0.8892841262783459,0,0.0,2,1.7785682525566917,,,,,,,,,,,2.0,3.0,False,False,False
2020-10-02,1.0443369,0.92871223387192,0,0.0,2,1.7785682525566917,0,0.0,3,2.667852378835038,0.72724116,0.6467240382335149,0,0.0,1,0.8892841262783459,0,0.0,3,2.667852378835038,2.264,2.013339261894175,1.0,0.8892841262783459,4.0,3.5571365051133834,0.0,0.0,7.0,6.224988883948421,0.0,3.0,False,False,False
2020-10-03,0.67365545,0.5990711088088574,0,0.0,1,0.8892841262783459,0,0.0,2,1.7785682525566917,0.8645794,0.7688567166042048,0,0.0,1,0.8892841262783459,0,0.0,3,2.667852378835038,2.753,2.4481991996442862,1.0,0.8892841262783459,4.0,3.5571365051133834,0.0,0.0,8.0,7.114273010226767,0.0,3.0,False,False,False
2020-10-04,0.6609707,0.5877907369722379,0,0.0,1,0.8892841262783459,0,0.0,3,2.667852378835038,1.0299919,0.9159553883364424,0,0.0,1,0.8892841262783459,0,0.0,3,2.667852378835038,3.358,2.986216096042686,2.0,1.7785682525566917,5.0,4.44642063139173,0.0,0.0,9.0,8.003557136505114,1.0,4.0,False,False,False
