,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Week Prediction Mean,Trend 7Week Prediction Mean 100k,Trend 7Week Prediction Q25,Trend 7Week Prediction Q25 100k,Trend 7Week Prediction Q75,Trend 7Week Prediction Q75 100k,Trend 7Week Prediction Q5,Trend 7Week Prediction Q5 100k,Trend 7Week Prediction Q95,Trend 7Week Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2021-01-22,433.8682,37.90960181504488,247,21.581834910321795,548,47.881965711969,124,10.834605380080578,905,79.07514410462035,246.42075,21.53122186427936,134,11.708363878474172,326,28.484527047631197,71,6.203685338594524,546,47.70721401229029,,,,,,,,,,,326.0,,False,False,False
2021-01-23,202.2104,17.668305372353643,112,9.786095182008264,266,23.24197605726963,58,5.067799290682851,498,43.51317322000103,238.12592,20.80645353998989,143,12.49474652702841,312,27.26126514988016,68,5.941557789076446,495,43.25104567048295,,,,,,,,,,,211.0,,False,False,False
2021-01-24,94.208885,8.231581159634516,52,4.543544191646694,125,10.921981229919938,26,2.271772095823347,207,18.086800916747418,230.20456,20.114319340791553,131,11.446236328956093,298,26.038003252129133,68,5.941557789076446,485,42.37728717208936,,,,,,,,,,,126.0,,False,False,False
2021-01-25,127.273994,11.120673298137262,72,6.2910611884338845,167,14.591766923173035,40,3.4950339935743804,290,25.338996453414257,222.63878,19.45325202541426,129,11.271484629277376,293,25.601124002932334,67,5.854181939237086,453,39.581259977229855,,,,,,,,,,,84.0,,False,False,False
2021-01-26,271.44974,23.718152078799903,156,13.63063257494008,347,30.31941989425775,82,7.164819686827479,602,52.60026160329442,215.41022,18.821650883182883,128,11.184108779438017,277,24.20311040550258,64,5.592054389719008,464,40.54239432546281,,,,,,,,,,,223.0,,False,False,False
2021-01-27,416.9286,36.429488682188094,245,21.40708321064308,549,47.96934156180837,117,10.222974431205062,892,77.93925805670868,208.50264,18.21809564717114,123,10.747229530241217,275,24.028358705823862,63,5.504678539879649,428,37.396863731245865,,,,,,,,,,,297.0,,False,False,False
2021-01-28,257.50272,22.499517945107073,146,12.756874076546486,314,27.436016849558882,71,6.203685338594524,529,46.22182456502117,201.90009,17.64119224390015,123,10.747229530241217,273,23.853607006145143,56,4.893047591004132,444,38.79487732867562,,,,,,,,,,,236.0,1503.0,False,False,False
2021-01-29,223.83899,19.558121857699007,128,11.184108779438017,296,25.86325155245041,67,5.854181939237086,495,43.25104567048295,195.58765,17.089636821765453,114,9.960846881686983,248,21.669210760161157,59,5.155175140522211,400,34.9503399357438,1562.704,136.54259004736645,1232.0,107.6470470020909,1848.0,161.47057050313634,914.0,79.86152675317459,2456.0,214.5950872054669,259.0,1436.0,False,False,False
2021-01-30,156.51825,13.675914669875056,91,7.951202335381715,200,17.4751699678719,44,3.844537392931818,340,29.70778894538223,189.55151,16.56222448218614,113,9.873471031847624,240,20.97020396144628,59,5.155175140522211,386,33.72707803799276,1511.843,132.0985669486868,1182.0,103.27825451012292,1771.0,154.7426300655057,889.0,77.6771305071906,2347.0,205.07111957297676,266.0,1491.0,False,False,False
2021-01-31,93.26359,8.148985216394067,51,4.456168341807334,119,10.39772613088378,25,2.1843962459839874,201,17.56254581771126,183.77788,16.057748871389776,111,9.698719332168904,241,21.05757981128564,56,4.893047591004132,375,32.765943689759816,1463.319,127.85874121108169,1172.0,102.40449601172934,1699.0,148.4515688770718,877.0,76.62862030911828,2219.0,193.88701079353874,61.0,1426.0,False,False,False
