,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Day Prediction Mean,Trend 7Day Prediction Mean 100k,Trend 7Day Prediction Q25,Trend 7Day Prediction Q25 100k,Trend 7Day Prediction Q75,Trend 7Day Prediction Q75 100k,Trend 7Day Prediction Q5,Trend 7Day Prediction Q5 100k,Trend 7Day Prediction Q95,Trend 7Day Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2022-03-07,344.82983,306.6516947001219,139,123.61049355269007,471,418.85282347710097,49,43.574922187638954,918,816.3628279235215,341.08914,303.3251501619816,135,120.05335704757671,432,384.17074255224543,47,41.79635393508226,835,742.5522454424189,,,,,,,,,,,102.0,,False,False,False
2022-03-08,418.01538,371.73444870859385,161,143.1747443308137,523,465.0955980435749,61,54.246331702979106,1032,917.741218319253,334.5215,297.48466331511736,148,131.61405068919518,459,408.18141396176077,50,44.464206313917295,883,785.2378835037795,,,,,,,,,,,436.0,,False,False,False
2022-03-09,464.9142,413.4408198297024,196,174.29968875055582,604,537.1276122721209,72,64.02845709204091,1181,1050.2445531347266,328.23026,291.88995249569416,136,120.94264117385504,434,385.9493108048021,45,40.01778568252556,858,763.0057803468208,,,,,,,,,,,463.0,,False,False,False
2022-03-10,442.3512,393.37589405477047,194,172.5211204979991,578,514.006224988884,64,56.914184081814135,1184,1052.9124055135615,322.2045,286.53135523200035,136,120.94264117385504,423,376.16718541574033,48,42.685638061360606,811,721.2094264117386,,,,,,,,,,,234.0,,False,False,False
2022-03-11,346.10114,307.782250456512,151,134.28190306803023,474,421.52067585593596,48,42.685638061360606,887,788.795020008893,316.43442,281.4000938087702,136,120.94264117385504,414,368.16362827923524,46,40.90706980880391,789,701.6451756336149,,,,,,,,,,,219.0,,False,False,False
2022-03-12,217.7314,193.62508319318295,97,86.26056024899955,290,257.8923966207203,35,31.124944419742107,579,514.8955091151623,310.91074,276.48797258734703,134,119.16407292129836,418,371.7207647843486,44,39.12850155624722,793,705.2023121387283,,,,,,,,,,,233.0,,False,False,False
2022-03-13,103.76655,92.27794362232089,46,40.90706980880391,139,123.61049355269007,17,15.11783014673188,279,248.11027123165852,305.62372,271.786330267787,133,118.27478879502002,411,365.4957759004002,36,32.014228546020455,771,685.6380613606048,2259.014346435547,2008.9055993201841,1673.0,1487.7723432636728,2686.0,2388.6171631836373,1163.0,1034.2374388617163,3680.0,3272.565584704313,295.0,1982.0,False,False,False
2022-03-14,343.78937,305.7264257222414,139,123.61049355269007,465,413.51711871943087,51,45.35349044019564,826,734.5486883059137,300.56552,267.2881353646517,126,112.04979991107159,401,356.60293463761667,46,40.90706980880391,729,648.2881280569142,2218.490803100586,1972.8686554918506,1646.0,1463.7616718541574,2664.0,2369.052912405514,1188.0,1056.469542018675,3643.0,3239.6620720320143,130.0,2010.0,False,False,False
2022-03-15,401.05685,356.65349569171667,181,160.96042685638062,540,480.21342819030684,56,49.79991107158737,1060,942.6411738550466,295.72827,262.98644952476025,132,117.38550466874166,404,359.2707870164517,40,35.57136505113384,738,656.2916851934193,2179.697473022461,1938.370362847898,1588.0,1412.1831925300132,2605.0,2316.585148955091,1138.0,1012.0053357047576,3513.0,3124.0551356158294,445.0,2019.0,False,False,False
2022-03-16,444.6677,395.4359330236912,196,174.29968875055582,629,559.3597154290796,67,59.58203646064918,1104,981.769675411294,291.1039,258.8740782812238,129,114.71765228990662,409,363.7172076478435,44,39.12850155624722,723,642.9524232992441,2142.571182861328,1905.3545423399983,1613.0,1434.415295686972,2571.0,2286.3494886616277,1120.0,995.9982214317474,3388.0,3012.894619831036,389.0,1945.0,False,False,False
2022-03-17,414.81732,368.89046896249056,194,172.5211204979991,563,500.6669630947087,66,58.69275233437083,1053,936.4161849710983,286.68607,254.94536384940147,127,112.93908403734994,381,338.8172521120498,39,34.68208092485549,736,654.5131169408626,2107.052407836914,1873.768259525935,1595.0,1418.4081814139618,2520.0,2240.995998221432,1121.0,996.8875055580257,3397.0,3020.898176967541,325.0,2036.0,False,False,False
