,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Day Prediction Mean,Trend 7Day Prediction Mean 100k,Trend 7Day Prediction Q25,Trend 7Day Prediction Q25 100k,Trend 7Day Prediction Q75,Trend 7Day Prediction Q75 100k,Trend 7Day Prediction Q5,Trend 7Day Prediction Q5 100k,Trend 7Day Prediction Q95,Trend 7Day Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2021-02-11,5.976671,4.455680391401984,3,2.2365360529611737,8,5.964096141229796,1,0.7455120176537245,15,11.18268026480587,4.2926373,3.2002128136809915,2,1.491024035307449,6,4.4730721059223475,1,0.7455120176537245,10,7.455120176537246,,,,,,,,,,,9.0,,False,False,False
2021-02-12,6.444584,4.804514901479706,3,2.2365360529611737,9,6.709608158883521,1,0.7455120176537245,15,11.18268026480587,4.6367226,3.4567325201351196,2,1.491024035307449,6,4.4730721059223475,0,0.0,11,8.200632194190971,,,,,,,,,,,1.0,,False,False,False
2021-02-13,3.8027635,2.8350059437798336,1,0.7455120176537245,5,3.727560088268623,0,0.0,9,6.709608158883521,5.0101237,3.735107384272851,2,1.491024035307449,7,5.218584123576072,1,0.7455120176537245,12,8.946144211844695,,,,,,,,,,,4.0,,False,False,False
2021-02-14,2.8916414,2.1557534637395293,1,0.7455120176537245,4,2.982048070614898,0,0.0,7,5.218584123576072,5.415444,4.03727863158565,3,2.2365360529611737,7,5.218584123576072,1,0.7455120176537245,12,8.946144211844695,,,,,,,,,,,5.0,,False,False,False
2021-02-15,3.7721922,2.8122147341491655,2,1.491024035307449,5,3.727560088268623,0,0.0,9,6.709608158883521,5.8555117,4.3653544707922265,3,2.2365360529611737,8,5.964096141229796,1,0.7455120176537245,13,9.691656229498419,,,,,,,,,,,1.0,,False,False,False
2021-02-16,7.342586,5.473986311699264,4,2.982048070614898,10,7.455120176537246,1,0.7455120176537245,16,11.928192282459593,6.3334336,4.721650839201175,3,2.2365360529611737,9,6.709608158883521,1,0.7455120176537245,15,11.18268026480587,,,,,,,,,,,9.0,,False,False,False
2021-02-17,10.850393,8.089098264463246,6,4.4730721059223475,14,10.437168247152144,2,1.491024035307449,23,17.146776406035663,6.8525496,5.108657933305949,3,2.2365360529611737,10,7.455120176537246,1,0.7455120176537245,16,11.928192282459593,38.39641796875,28.62499103055854,30.0,22.36536052961174,45.0,33.54804079441761,21.0,15.655752370728218,58.0,43.23969702391603,10.0,39.0,False,False,False
2021-02-18,10.114084,7.540171645814553,5,3.727560088268623,13,9.691656229498419,2,1.491024035307449,23,17.146776406035663,7.416564,5.529137706616893,4,2.982048070614898,11,8.200632194190971,1,0.7455120176537245,17,12.673704300113318,41.52034498405457,30.953916162741226,33.0,24.60189658257291,50.0,37.27560088268623,23.0,17.146776406035663,64.0,47.71276912983837,7.0,37.0,False,False,False
2021-02-19,11.577139,8.630895899841562,6,4.4730721059223475,16,11.928192282459593,2,1.491024035307449,26,19.383312458996837,8.029492,5.986083124298602,4,2.982048070614898,11,8.200632194190971,1,0.7455120176537245,18,13.419216317767042,44.9131175365448,33.4832688737884,36.0,26.838432635534083,54.0,40.25764895330113,25.0,18.637800441343114,68.0,50.69481720045327,11.0,47.0,False,False,False
2021-02-20,6.781587,5.055754809291102,3,2.2365360529611737,9,6.709608158883521,1,0.7455120176537245,15,11.18268026480587,8.69571,6.482756725745276,4,2.982048070614898,12,8.946144211844695,2,1.491024035307449,20,14.910240353074492,48.59870777130127,36.23092068594656,39.0,29.07496868849526,58.0,43.23969702391603,28.0,20.874336494304288,74.0,55.16788930637562,5.0,48.0,False,False,False
2021-02-21,4.969247,3.704633127199486,2,1.491024035307449,7,5.218584123576072,1,0.7455120176537245,12,8.946144211844695,9.420021,7.022739009698853,5,3.727560088268623,13,9.691656229498419,1,0.7455120176537245,21,15.655752370728218,52.60328344345093,39.21637997513786,42.0,31.311504741456435,63.0,46.967257112184654,31.0,23.110872547265462,80.0,59.64096141229797,2.0,45.0,False,False,False
2021-02-22,6.5727086,4.9000333092408255,3,2.2365360529611737,8,5.964096141229796,1,0.7455120176537245,14,10.437168247152144,10.207647,7.609924068674445,6,4.4730721059223475,14,10.437168247152144,2,1.491024035307449,23,17.146776406035663,56.95541106796264,42.46094342157411,46.0,34.293552812071326,68.0,50.69481720045327,34.0,25.347408600226636,90.0,67.09608158883522,5.0,49.0,False,False,False
2021-02-23,12.842822,9.57447846303694,7,5.218584123576072,17,12.673704300113318,3,2.2365360529611737,30,22.36536052961174,11.064305,8.248572703450918,6,4.4730721059223475,15,11.18268026480587,3,2.2365360529611737,24,17.89228842368939,61.686280544281004,45.98786347012063,50.0,37.27560088268623,73.0,54.42237728872189,36.0,26.838432635534083,93.0,69.33261764179639,24.0,64.0,False,False,False
2021-02-24,18.688553,13.93254060531035,10,7.455120176537246,24,17.89228842368939,4,2.982048070614898,41,30.565992723802708,11.996226,8.943330612964928,7,5.218584123576072,16,11.928192282459593,3,2.2365360529611737,27,20.128824476650564,66.82995234680176,49.82253261376644,55.0,41.00316097095485,79.0,58.89544939464424,40.0,29.820480706148984,100.0,74.55120176537245,10.0,64.0,False,False,False
2021-02-25,17.389786,12.964294000994414,9,6.709608158883521,23,17.146776406035663,4,2.982048070614898,38,28.329456670841534,13.010249,9.699296788312495,7,5.218584123576072,18,13.419216317767042,3,2.2365360529611737,30,22.36536052961174,72.42362898254395,53.9926857685811,58.0,43.23969702391603,86.0,64.11403351822032,43.0,32.05701675911016,111.0,82.75183395956343,15.0,72.0,False,False,False
2021-02-26,19.90626,14.840356016065925,10,7.455120176537246,26,19.383312458996837,4,2.982048070614898,45,33.54804079441761,14.113809,10.522014054004103,7,5.218584123576072,18,13.419216317767042,3,2.2365360529611737,31,23.110872547265462,78.50794769668579,58.5286184892093,63.0,46.967257112184654,93.0,69.33261764179639,46.0,34.293552812071326,118.0,87.9704180831395,18.0,79.0,False,False,False
2021-02-27,11.865668,8.845998672768474,6,4.4730721059223475,16,11.928192282459593,2,1.491024035307449,28,20.874336494304288,15.315057,11.417558562243357,8,5.964096141229796,21,15.655752370728218,3,2.2365360529611737,34,25.347408600226636,85.12730813980103,63.4634312487334,69.0,51.440329218107,101.0,75.29671378302619,49.0,36.5300888650325,129.0,96.17105027733047,15.0,89.0,False,False,False
2021-02-28,8.634512,6.437132105929777,4,2.982048070614898,11,8.200632194190971,1,0.7455120176537245,19,14.164728335420767,16.622944,12.392604548949748,9,6.709608158883521,23,17.146776406035663,4,2.982048070614898,38,28.329456670841534,92.33022473144531,68.83329212996162,74.0,55.16788930637562,111.0,82.75183395956343,56.0,41.748672988608575,142.0,105.8627065068289,6.0,93.0,False,False,False
2021-03-01,11.60387,8.65082474774681,6,4.4730721059223475,16,11.928192282459593,2,1.491024035307449,27,20.128824476650564,18.047125,13.454348663799465,10,7.455120176537246,24,17.89228842368939,4,2.982048070614898,38,28.329456670841534,100.16971625518799,74.6777272732063,80.0,59.64096141229797,118.0,87.9704180831395,59.0,43.98520904156975,152.0,113.31782668336614,9.0,97.0,False,False,False
2021-03-02,22.843884,17.03039015410468,13,9.691656229498419,29,21.619848511958015,6,4.4730721059223475,54,40.25764895330113,19.598312,14.610777725465596,11,8.200632194190971,26,19.383312458996837,4,2.982048070614898,44,32.802528776763886,108.70373948287964,81.03994414838644,86.0,64.11403351822032,131.0,97.66207431263791,63.0,46.967257112184654,170.0,126.73704300113317,22.0,95.0,False,False,False
2021-03-03,33.05754,24.64479475747794,18,13.419216317767042,43,32.05701675911016,8,5.964096141229796,73,54.42237728872189,21.28815,15.870571951381862,12,8.946144211844695,28,20.874336494304288,5,3.727560088268623,48,35.78457684737878,117.99565372848511,87.96717788549317,92.0,68.58710562414265,142.0,105.8627065068289,66.0,49.20379316514582,181.0,134.93767519532415,16.0,101.0,False,False,False
2021-03-04,31.246046,23.29430280951783,16,11.928192282459593,41,30.565992723802708,7,5.218584123576072,74,55.16788930637562,23.129328,17.243191541638225,12,8.946144211844695,30,22.36536052961174,5,3.727560088268623,53,39.512136935647405,128.11473289871216,95.51107301448691,99.0,73.80568974771873,153.0,114.06333870101987,72.0,53.676865271068166,197.0,146.86586747778375,9.0,95.0,True,False,False
2021-03-05,34.794548,25.939755141735077,19,14.164728335420767,47,35.039064829725056,8,5.964096141229796,78,58.14993737699052,25.135798,18.739039660431445,13,9.691656229498419,33,24.60189658257291,6,4.4730721059223475,58,43.23969702391603,139.13673935699464,103.72811128779345,106.0,79.02427387129481,169.0,125.99153098347945,75.0,55.91340132402934,218.0,162.52161984851196,11.0,88.0,True,False,False
