,Unnamed: 0,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Day Prediction Mean,Trend 7Day Prediction Mean 100k,Trend 7Day Prediction Q25,Trend 7Day Prediction Q25 100k,Trend 7Day Prediction Q75,Trend 7Day Prediction Q75 100k,Trend 7Day Prediction Q5,Trend 7Day Prediction Q5 100k,Trend 7Day Prediction Q95,Trend 7Day Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
15,2020-05-13,0.3781974,0.5326949121808866,0,0.0,1,1.408510218741637,0,0.0,2,2.817020437483274,0.24970104,0.3517064669722458,0,0.0,0,0.0,0,0.0,1,1.408510218741637,1.3882090376764535,1.955306615316779,0.0,0.0,2.0,2.817020437483274,0.0,0.0,4.0,5.634040874966548,0.0,1.0,False,False,False
16,2020-05-14,0.40967104,0.5770258212578483,0,0.0,1,1.408510218741637,0,0.0,2,2.817020437483274,0.27657503,0.3895587724400684,0,0.0,0,0.0,0,0.0,1,1.408510218741637,1.5045368177965284,2.1191554823394343,0.0,0.0,2.0,2.817020437483274,0.0,0.0,5.0,7.042551093708185,0.0,1.0,False,False,False
17,2020-05-15,0.3287473,0.4630439434549771,0,0.0,1,1.408510218741637,0,0.0,2,2.817020437483274,0.30895996,0.4351732513896422,0,0.0,0,0.0,0,0.0,2,2.817020437483274,1.6442944550663232,2.316005542581128,0.0,0.0,2.0,2.817020437483274,0.0,0.0,5.0,7.042551093708185,0.0,1.0,False,False,False
18,2020-05-16,0.22529411,0.3173290679114871,0,0.0,0,0.0,0,0.0,1,1.408510218741637,0.34815758,0.4903835360892117,0,0.0,1,1.408510218741637,0,0.0,2,2.817020437483274,1.812418978437781,2.5528106517708937,0.0,0.0,3.0,4.225530656224911,0.0,0.0,5.0,7.042551093708185,0.0,1.0,False,False,False
19,2020-05-17,0.18682916,0.2631507868500193,0,0.0,0,0.0,0,0.0,1,1.408510218741637,0.3958475,0.5575552677328233,0,0.0,1,1.408510218741637,0,0.0,2,2.817020437483274,2.015215003743768,2.838450925734564,0.0,0.0,3.0,4.225530656224911,0.0,0.0,6.0,8.451061312449822,0.0,1.0,False,False,False
20,2020-05-18,0.35344717,0.4978339347871952,0,0.0,0,0.0,0,0.0,2,2.817020437483274,0.4542115,0.6397615379682975,0,0.0,1,1.408510218741637,0,0.0,2,2.817020437483274,2.2607769646197555,3.1843274569626256,0.0,0.0,3.0,4.225530656224911,0.0,0.0,7.0,9.85957153119146,1.0,1.0,False,False,False
21,2020-05-19,0.6951496,0.9791253432922532,0,0.0,1,1.408510218741637,0,0.0,3,4.225530656224911,0.5261072,0.7410273610730655,0,0.0,1,1.408510218741637,0,0.0,2,2.817020437483274,2.559560432352125,3.6051670244547314,1.0,1.408510218741637,4.0,5.634040874966548,0.0,0.0,8.0,11.268081749933096,0.0,1.0,True,False,False
22,2020-05-20,0.93867606,1.3221348126535304,0,0.0,1,1.408510218741637,0,0.0,4,5.634040874966548,0.6153016,0.8666585927130654,0,0.0,1,1.408510218741637,0,0.0,3,4.225530656224911,2.925160566166044,4.120118548904944,1.0,1.408510218741637,4.0,5.634040874966548,0.0,0.0,10.0,14.08510218741637,0.0,1.0,True,False,False
23,2020-05-21,1.0468571,1.4745089174539316,0,0.0,1,1.408510218741637,0,0.0,6,8.451061312449822,0.7267924,1.0236944945063442,0,0.0,1,1.408510218741637,0,0.0,3,4.225530656224911,3.3753777833506464,4.754254099962881,1.0,1.408510218741637,5.0,7.042551093708185,0.0,0.0,12.0,16.902122624899643,0.0,1.0,True,False,False
24,2020-05-22,0.92870355,1.308088394580409,0,0.0,1,1.408510218741637,0,0.0,4,5.634040874966548,0.8672726,1.221562342834659,0,0.0,1,1.408510218741637,0,0.0,5,7.042551093708185,3.933690502457321,5.540643270078061,1.0,1.408510218741637,5.0,7.042551093708185,0.0,0.0,15.0,21.127653281124555,0.0,1.0,True,False,False
25,2020-05-23,0.64977,0.9152076927421148,0,0.0,1,1.408510218741637,0,0.0,3,4.225530656224911,1.0457646,1.4729700524185318,0,0.0,1,1.408510218741637,0,0.0,5,7.042551093708185,4.631297475971282,6.523229820937901,1.0,1.408510218741637,6.0,8.451061312449822,0.0,0.0,19.0,26.761694156091103,0.0,1.0,True,False,False
26,2020-05-24,0.5785959,0.814958184491843,0,0.0,1,1.408510218741637,0,0.0,3,4.225530656224911,1.2745268,1.7951841073227115,0,0.0,1,1.408510218741637,0,0.0,7,9.85957153119146,5.509976663593203,7.760858435698976,1.0,1.408510218741637,6.0,8.451061312449822,0.0,0.0,23.0,32.39573503105765,,,False,False,True
27,2020-05-25,1.2270633,1.7283311535720711,0,0.0,1,1.408510218741637,0,0.0,6,8.451061312449822,1.570341,2.2118412744021043,0,0.0,1,1.408510218741637,0,0.0,7,9.85957153119146,6.6261065402925015,9.332938772472785,1.0,1.408510218741637,7.0,9.85957153119146,0.0,0.0,28.0,39.43828612476584,,,False,False,True
28,2020-05-26,2.593132,3.652452869573608,0,0.0,2,2.817020437483274,0,0.0,12,16.902122624899643,1.9563589,2.755551577138249,0,0.0,1,1.408510218741637,0,0.0,9,12.676591968674732,8.056357770204544,11.347462245171688,1.0,1.408510218741637,8.0,11.268081749933096,0.0,0.0,34.0,47.889347437215655,,,False,False,True
29,2020-05-27,3.6870944,5.193310062168166,0,0.0,2,2.817020437483274,0,0.0,19,26.761694156091103,2.4647508,3.4716267691692337,0,0.0,2,2.817020437483274,0,0.0,11,15.493612406158007,9.905807541992516,13.952431147784436,1.0,1.408510218741637,9.0,12.676591968674732,0.0,0.0,46.0,64.7914700621153,,,False,False,True
30,2020-05-28,4.4819,6.3128019974101335,0,0.0,2,2.817020437483274,0,0.0,17,23.944673718607827,3.1405458,4.423490827321075,0,0.0,2,2.817020437483274,0,0.0,14,19.71914306238292,12.319560961019247,17.35222750400615,1.0,1.408510218741637,10.0,14.08510218741637,0.0,0.0,56.0,78.87657224953168,,,False,False,True
