,Unnamed: 0,countyID,newInf100k,7DayInf100k,newInf100k_RKI,7DayInf100k_RKI,newInfRaw,7DayInfRaw,newInfRaw_RKI,7DayInfRaw_RKI
316,316,9274,5.83744964020163,28.47567024207019,5.822340969225693,51.10721517431442,9.023354530334473,44.01683679008484,9,79.0
317,317,9173,9.41498842745492,42.21008465973856,3.201793004082286,40.02241255102858,11.762145042419434,52.73305876541138,4,50.0
318,318,9190,11.741617575399712,45.17428855057317,2.257234436368561,36.11575098189698,15.605314254760742,60.03933994102478,3,48.0
319,319,10041,19.101051937879078,75.26528409670892,17.410959740973794,63.8401857169039,62.53302383422852,246.40348707580569,57,209.0
320,320,8317,14.187631739038126,60.08533227656685,4.522668088530038,34.03902824525239,59.60309219360352,252.42208601379397,19,143.0
321,321,8316,5.415344068824924,22.47308518976266,3.084858281610543,21.5940079712738,8.777297973632812,36.42482593727112,5,35.0
322,322,5962,14.118767731992415,56.58811853195796,14.897722330484346,81.93747281766389,58.75821685791016,235.5033387756348,62,341.0
323,323,9182,11.543301637702047,46.139143818481394,11.19182793073276,55.9591396536638,11.345449447631836,45.34831889343262,11,55.0
324,324,6411,12.604120429876334,50.17318952228846,9.655429891923555,46.989758807361305,19.58087921142578,77.94555511856079,15,73.0
325,325,5111,6.5368856682280185,27.809494443682524,9.96442211252283,45.08492627961149,40.01737594604492,170.2436068954468,61,276.0
326,326,5158,23.724714462075895,87.77005614117937,13.863627428462648,69.93889657940858,114.65656280517578,424.1742496185303,67,338.0
327,327,5513,17.758358721140308,65.59854297172618,10.75400970933448,62.60369937934001,46.237083435058594,170.79761436462402,28,163.0
328,328,5916,15.189185052167966,58.745529483503134,7.058023368473736,74.43006461299574,23.672496795654297,91.55549515533448,11,116.0
329,329,9772,4.964769857325849,22.733733751098185,9.364820846905538,38.68078175895765,12.193474769592283,55.83405009269714,23,95.0
330,330,9472,18.99370230017048,81.14796766253663,18.215634766935747,101.6240676471152,19.81157112121582,84.64219915008545,19,106.0
331,331,3403,7.586125553887617,29.71076729576615,4.272721723738021,29.298663248489287,12.428349494934082,48.675150060653685,7,48.0
332,332,3451,5.136254188448698,21.790183840839724,15.646230493679749,45.29171985012558,6.237210273742676,26.46090974712372,19,55.0
333,333,3457,17.919750324274496,64.66815278293734,0.0,59.08754506171366,30.02418327331543,108.35019662475584,0,99.0
334,334,5362,20.464459485797217,74.1863244626055,11.143087963964968,51.64392690991456,95.49883270263672,346.1956761474609,52,241.0
335,335,14626,15.780038100022535,66.60345995389497,2.6923076923076925,60.76923076923077,41.028099060058594,173.16899588012694,7,158.0
336,336,5978,8.811561060190781,37.81028560789798,16.665193732877146,71.45833070309443,34.89686584472656,149.74196460723877,66,283.0
337,337,7137,4.903605457633062,23.942779895620017,8.021705792143447,37.74920372773386,10.391965866088867,50.74073629379272,17,80.0
338,338,7138,15.484800188558106,62.20130573686682,9.410201765796684,49.26517395034736,27.97406578063965,112.36976887893675,17,89.0
339,339,9761,10.355101320592986,44.501393143735264,11.523392486748095,51.33147562278699,29.65431785583496,127.44041960144042,33,147.0
340,340,9771,4.331271703551614,20.32587796011673,6.110788597268478,22.91545723975679,5.670327663421631,26.60982639026642,8,30.0
341,341,10043,39.21430061994394,139.8341541972727,5.981979287396718,60.56754028489176,52.44324493408203,187.00720611572265,8,81.0
342,342,10045,11.212122774754722,47.6326533004494,3.458197310905771,22.13246278979693,16.210935592651367,68.86919544792175,5,32.0
343,343,9189,20.813851878841835,84.76743308791539,17.79951998713841,93.01684638440074,36.24982070922852,147.6326568145752,31,162.0
344,344,3157,20.84350787742827,84.3892480499655,0.0,83.88754534461911,27.58012962341309,111.66385301971437,0,111.0
345,345,3254,20.68441196542231,77.19336899824525,0.0,56.3065095378174,57.30719757080078,213.8680884780884,0,156.0
346,346,3241,23.88614629739239,91.49326062475998,6.465812888112603,101.6181133631751,273.3724060058594,1047.122984130859,74,1163.0
347,347,1061,8.103249303490609,32.99764758626091,4.564230128483079,21.299740599587697,10.652288436889648,43.37771758747101,6,28.0
348,348,1051,1.805217903380754,8.90034632724164,2.2570476312285117,18.05638104982809,2.3994414806365967,11.83007332777977,3,24.0
349,349,9573,10.035905401524229,42.94410163723256,10.499514397459118,67.37188405036267,11.470136642456056,49.08124320220947,12,77.0
350,350,9564,17.463279031083786,68.37882362409482,20.58924457081229,84.31785871856464,89.05835723876953,348.7149057769776,105,430.0
351,351,8236,7.89891139736687,34.05180598361282,12.75080840125264,41.82265155610865,15.487079620361328,66.76401391983032,25,82.0
352,352,8115,7.949979636037228,33.20828496981953,9.441855219641155,40.39015843957606,30.3117618560791,126.6168810157776,36,154.0
353,353,9678,5.979009183093386,27.265493076091197,6.096870563437938,26.12944527187688,6.86467981338501,31.304330565452577,7,30.0
354,354,9662,1.6173044647811068,9.0283533294062,0.0,5.772672169947469,0.8404969573020935,4.691944941759109,0,3.0
355,355,9462,16.071753193376836,69.84986563628254,34.65099517658147,106.72506514387092,11.59544849395752,50.39528105926514,25,77.0
