,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Day Prediction Mean,Trend 7Day Prediction Mean 100k,Trend 7Day Prediction Q25,Trend 7Day Prediction Q25 100k,Trend 7Day Prediction Q75,Trend 7Day Prediction Q75 100k,Trend 7Day Prediction Q5,Trend 7Day Prediction Q5 100k,Trend 7Day Prediction Q95,Trend 7Day Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2021-03-13,14.681251,13.10428197029978,8,7.14068943356481,19,16.959137404716426,3,2.677758537586804,32,28.56275773425924,15.915868,14.206283958628774,9,8.033275612760413,21,18.74430976310763,4,3.570344716782405,34,30.347930092650447,,,,,,,,,,,12.0,,False,False,False
2021-03-14,6.3819914,5.696477455785498,3,2.677758537586804,9,8.033275612760413,1,0.8925861791956012,14,12.49620650873842,16.116634,14.38548497390002,9,8.033275612760413,21,18.74430976310763,4,3.570344716782405,34,30.347930092650447,,,,,,,,,,,8.0,,False,False,False
2021-03-15,9.508166,8.486858132528141,5,4.4629308959780065,12,10.711034150347215,2,1.7851723583912025,22,19.63689594230323,16.32701,14.573262888006866,10,8.925861791956013,22,19.63689594230323,4,3.570344716782405,35,31.240516271846047,,,,,,,,,,,7.0,,False,False,False
2021-03-16,19.53145,17.43350294418633,11,9.818447971151615,25,22.31465447989003,5,4.4629308959780065,42,37.48861952621526,16.547274,14.76986799389124,10,8.925861791956013,22,19.63689594230323,5,4.4629308959780065,34,30.347930092650447,,,,,,,,,,,32.0,,False,False,False
2021-03-17,28.667164,25.587913114577532,16,14.28137886712962,36,32.13310245104165,8,7.14068943356481,57,50.87741221414928,16.777756,14.97559278504923,9,8.033275612760413,22,19.63689594230323,4,3.570344716782405,37,33.02568863023725,,,,,,,,,,,15.0,,False,False,False
2021-03-18,26.106941,23.30269489903003,15,13.38879268793402,35,31.240516271846047,7,6.24810325436921,55,49.092239855758066,17.018784,15.190731210168451,10,8.925861791956013,21,18.74430976310763,4,3.570344716782405,35,31.240516271846047,,,,,,,,,,,22.0,,False,False,False
2021-03-19,21.934515,19.578445062506944,13,11.603620329542817,28,24.99241301747684,6,5.355517075173608,46,41.05896424299766,17.27069,15.415580128319561,10,8.925861791956013,22,19.63689594230323,4,3.570344716782405,35,31.240516271846047,115.97399912261963,103.51678876289307,93.0,83.01051466519093,134.0,119.60654801221058,69.0,61.58844636449649,178.0,158.88033989681702,23.0,119.0,False,False,False
2021-03-20,19.098038,17.046644643414766,11,9.818447971151615,24,21.42206830069443,5,4.4629308959780065,38,33.91827480943285,17.533834,15.650458226446062,10,8.925861791956013,23,20.52948212149883,5,4.4629308959780065,37,33.02568863023725,117.5919764328003,104.96097294821242,96.0,85.68827320277772,134.0,119.60654801221058,72.0,64.2662049020833,176.0,157.09516753842584,14.0,121.0,False,False,False
2021-03-21,8.342498,7.4463983764871955,5,4.4629308959780065,11,9.818447971151615,2,1.7851723583912025,19,16.959137404716426,17.808647,15.895752585493028,11,9.818447971151615,24,21.42206830069443,5,4.4629308959780065,37,33.02568863023725,119.28399428558349,106.47124469855892,97.0,86.58085938197333,135.0,120.49913419140618,74.0,66.0513772604745,177.0,157.98775371762144,9.0,122.0,False,False,False
2021-03-22,12.281808,10.962571832351387,7,6.24810325436921,16,14.28137886712962,3,2.677758537586804,27,24.099826838281235,18.095478,16.151773161254823,11,9.818447971151615,24,21.42206830069443,5,4.4629308959780065,38,33.91827480943285,121.05248544311523,108.04977546380137,100.0,89.25861791956012,138.0,123.17689272899298,77.0,68.72913579806131,177.0,157.98775371762144,6.0,121.0,False,False,False
