,Raw Prediction Mean,Raw Prediction Mean 100k,Raw Prediction Q25,Raw Prediction Q25 100k,Raw Prediction Q75,Raw Prediction Q75 100k,Raw Prediction Q5,Raw Prediction Q5 100k,Raw Prediction Q95,Raw Prediction Q95 100k,Trend Prediction Mean,Trend Prediction Mean 100k,Trend Prediction Q25,Trend Prediction Q25 100k,Trend Prediction Q75,Trend Prediction Q75 100k,Trend Prediction Q5,Trend Prediction Q5 100k,Trend Prediction Q95,Trend Prediction Q95 100k,Trend 7Day Prediction Mean,Trend 7Day Prediction Mean 100k,Trend 7Day Prediction Q25,Trend 7Day Prediction Q25 100k,Trend 7Day Prediction Q75,Trend 7Day Prediction Q75 100k,Trend 7Day Prediction Q5,Trend 7Day Prediction Q5 100k,Trend 7Day Prediction Q95,Trend 7Day Prediction Q95 100k,RKI Meldedaten,RKI 7Day Incidence,is_nowcast,is_high,is_prediction
2022-02-11,43.777077,96.5060549788177,17,37.47630175036374,58,127.86032361888806,6,13.226930029540144,125,275.5610422820863,36.49722,80.45769645832479,14,30.86283673559367,46,101.40646355980778,5,11.022441691283452,102,224.85781050218245,,,,,,,,,,,2.0,,False,False,False
2022-02-12,27.828894,61.34847062639892,9,19.840395044310217,33,72.74811516247078,3,6.613465014770072,76,167.5411137075085,37.379467,82.40260067395866,15,33.06732507385036,48,105.81544023632115,5,11.022441691283452,100,220.44883382566906,,,,,,,,,,,10.0,,False,False,False
2022-02-13,21.716404,47.873560106381774,8,17.635906706053525,27,59.52118513293064,2,4.408976676513381,56,123.45134694237468,38.329212,84.49630113318563,16,35.27181341210705,51,112.42890525109122,5,11.022441691283452,102,224.85781050218245,,,,,,,,,,,1.0,,False,False,False
2022-02-14,30.352604,66.91195885650814,12,26.453860059080288,39,85.97504519201094,4,8.817953353026763,78,171.95009038402188,39.35101,86.74883865751326,18,39.680790088620434,52,114.6333935893479,7,15.431418367796836,104,229.2667871786958,,,,,,,,,,,29.0,,False,False,False
2022-02-15,51.51088,113.55513706803322,23,50.70323177990389,63,138.88276531017152,8,17.635906706053525,126,277.76553062034304,40.44977,89.17105151340365,17,37.47630175036374,51,112.42890525109122,6,13.226930029540144,101,222.65332216392574,,,,,,,,,,,87.0,,False,False,False
2022-02-16,63.803905,140.6549708917737,29,63.93016180944403,80,176.35906706053524,10,22.044883382566905,158,348.3091574445571,41.630787,91.77458705380559,19,41.88527842687712,56,123.45134694237468,7,15.431418367796836,107,235.88025219346588,,,,,,,,,,,98.0,,False,False,False
2022-02-17,59.283764,130.69036649540067,26,57.31669679467395,75,165.3366253692518,10,22.044883382566905,142,313.03734403245005,42.899857,94.57223350182176,21,46.294255103390505,58,127.86032361888806,8,17.635906706053525,111,244.69820554649263,276.5373106765747,609.6232764793763,181.0,399.01238922446095,337.0,742.9125699925048,122.0,268.94757726731626,541.0,1192.6281909968695,68.0,295.0,False,False,False
2022-02-18,47.36981,104.42618513479829,22,48.49874344164719,64,141.0872536484282,7,15.431418367796836,116,255.72064723777612,44.26319,97.5776871200651,21,46.294255103390505,59,130.06481195714474,7,15.431418367796836,109,240.28922886997927,284.30329709625244,626.7433029766157,194.0,427.67073762179797,348.0,767.1619417133282,133.0,293.19694898813987,536.0,1181.6057493055862,14.0,307.0,False,False,False
2022-02-19,31.401154,69.22347820363939,14,30.86283673559367,42,92.58851020678101,5,11.022441691283452,80,176.35906706053524,45.727657,100.80608772113919,20,44.08976676513381,57,125.65583528063138,8,17.635906706053525,112,246.90269388474937,292.65146632385256,645.1467446846536,206.0,454.12459768087825,349.0,769.366430051585,143.0,315.24183237070673,526.0,1159.5608659230193,0.0,297.0,False,False,False
2022-02-20,31.165705,68.70443467050791,14,30.86283673559367,41,90.38402186852431,4,8.817953353026763,81,178.56355539879195,47.300438,104.27326196804643,22,48.49874344164719,60,132.26930029540145,8,17.635906706053525,117,257.9251355760328,301.62269567871095,664.923715177265,218.0,480.57845773995854,358.0,789.2068250958952,145.0,319.65080904722015,529.0,1166.1743309377894,49.0,345.0,False,False,False
2022-02-21,43.051746,94.90707307122648,19,41.88527842687712,56,123.45134694237468,6,13.226930029540144,102,224.85781050218245,48.989532,107.99685260280967,24,52.907720118160576,68,149.90520700145495,9,19.840395044310217,115,253.51615889951944,311.261271484375,686.1718431382545,231.0,509.2368061372955,366.0,806.8427318019487,156.0,343.90018076804375,529.0,1166.1743309377894,84.0,400.0,False,False,False
2022-02-22,64.902145,143.07602541521192,33,72.74811516247078,91,200.60843878135884,12,26.453860059080288,164,361.53608747409726,50.803635,111.99602158740163,25,55.112208456417264,71,156.51867201622503,11,24.249371720823596,128,282.1745072968564,321.61518516540525,708.9969251034021,243.0,535.6906661963758,385.0,848.728010228826,171.0,376.9675058418941,538.0,1186.0147259820997,75.0,388.0,False,False,False
2022-02-23,81.91495,180.5805484764278,37,81.56606851549756,110,242.49371720823595,15,33.06732507385036,198,436.48869097482475,52.752026,116.2912230938673,25,55.112208456417264,71,156.51867201622503,9,19.840395044310217,125,275.5610422820863,332.7364644470215,733.5136555862208,253.0,557.7355495789427,392.0,864.1594285966227,180.0,396.8079008862043,540.0,1190.423702658613,66.0,356.0,False,False,False
2022-02-24,76.43112,168.49151579663157,36,79.36158017724087,104,229.2667871786958,14,30.86283673559367,191,421.0572726070279,54.844925,120.90499512851238,26,57.31669679467395,73,160.92764869273842,10,22.044883382566905,132,290.9924606498831,344.6815163116455,759.8463831216558,263.0,579.7804329615096,403.0,888.4088003174462,194.0,427.67073762179797,562.0,1238.9224461002602,104.0,392.0,False,False,False
2022-02-25,65.67419,144.77798249572515,31,68.3391384859574,85,187.3815087518187,13,28.658348397336976,158,348.3091574445571,57.09324,125.86137745529413,28,61.72567347118734,73,160.92764869273842,10,22.044883382566905,134,295.40143732639655,357.51153764343263,788.130015527165,274.0,604.0298046823332,417.0,919.27163705304,199.0,438.6931793130815,574.0,1265.3763061593404,36.0,414.0,False,False,False
2022-02-26,40.18378,88.58467335812747,18,39.680790088620434,53,116.8378819276046,8,17.635906706053525,93,205.01741545787223,59.509052,131.18701754137874,29,63.93016180944403,82,180.76804373704863,11,24.249371720823596,153,337.28671575327365,371.29291831970215,818.5109085130773,285.0,628.2791764031568,440.0,969.9748688329438,208.0,458.5335743573916,592.0,1305.057096247961,5.0,419.0,False,False,False
2022-02-27,39.20362,86.42392349429429,18,39.680790088620434,53,116.8378819276046,7,15.431418367796836,97,213.83536881089898,62.105198,136.91018102690578,29,63.93016180944403,83,182.9725320753053,11,24.249371720823596,155,341.6956924297871,386.09772412109373,851.1479302524001,303.0,667.9599664917772,461.0,1016.2691239363343,215.0,473.9649927251885,623.0,1373.3962347339182,38.0,408.0,False,False,False
2022-02-28,57.22148,126.14409206435084,27,59.52118513293064,76,167.5411137075085,11,24.249371720823596,152,335.082227415017,64.89602,143.06252123788,32,70.5436268242141,87,191.79048542833206,13,28.658348397336976,159,350.5136457828138,402.0041930541992,886.2135555182736,315.0,694.4138265508575,479.0,1055.9499140249548,223.0,491.600899431242,661.0,1457.1667915876726,57.0,381.0,False,False,False
2022-03-01,87.00066,191.79194932803512,41,90.38402186852431,115,253.51615889951944,15,33.06732507385036,220,484.9874344164719,67.89672,149.677530862391,31,68.3391384859574,89,196.19946210484548,13,28.658348397336976,161,354.9226224593272,419.0973023223877,923.8951155645424,318.0,701.0272915656276,502.0,1106.6531458048587,222.0,489.39641109298526,694.0,1529.9149067501432,67.0,373.0,False,False,False
2022-03-02,111.91212,246.70895654708147,47,103.61095189806446,146,321.85529738547683,17,37.47630175036374,281,619.4612230501301,71.124115,156.79227653890848,32,70.5436268242141,91,200.60843878135884,12,26.453860059080288,177,390.1944358714343,437.46938020324706,964.3961470024404,321.0,707.6407565803977,522.0,1150.7429125699925,222.0,489.39641109298526,732.0,1613.6854636038975,101.0,408.0,False,False,False
2022-03-03,106.04975,233.78543555736542,48,105.81544023632115,138,304.21939067942327,20,44.08976676513381,259,570.9624796084829,74.59632,164.44672364741564,35,77.15709183898417,100,220.44883382566906,14,30.86283673559367,195,429.8752259600547,457.22077026367185,1007.9378560550061,335.0,738.5035933159913,551.0,1214.6730743794367,235.0,518.0547594903222,774.0,1706.2739738106784,114.0,418.0,False,False,False
2022-03-04,85.37008,188.19734686985612,34,74.95260350072748,115,253.51615889951944,11,24.249371720823596,235,518.0547594903222,78.333046,172.68428346142173,35,77.15709183898417,103,227.06229884043913,14,30.86283673559367,211,465.1470393721617,478.4605541229248,1054.7607118798219,344.0,758.3439883603015,595.0,1311.6705612627309,238.0,524.6682245050924,851.0,1876.0195758564437,85.0,467.0,True,False,False
2022-03-05,52.763645,116.31684610620141,23,50.70323177990389,69,152.10969533971164,9,19.840395044310217,143,315.24183237070673,82.35586,181.55252328142524,35,77.15709183898417,105,231.4712755169525,13,28.658348397336976,217,478.37396940170186,501.3073878479004,1105.1262903926201,350.0,771.5709183898417,615.0,1355.7603280278647,243.0,535.6906661963758,905.0,1995.0619461223048,0.0,462.0,True,False,False
2022-03-06,50.49402,111.31347855553031,21,46.294255103390505,68,149.90520700145495,7,15.431418367796836,139,306.42387901768,86.688194,191.10310822725296,36,79.36158017724087,110,242.49371720823595,13,28.658348397336976,232,511.44129447555224,525.8903327636718,1159.3191057794452,362.0,798.0247784489219,644.0,1419.6904898373089,243.0,535.6906661963758,985.0,2171.4210131828404,28.0,452.0,True,False,False
2022-03-07,70.99269,156.5025537274778,31,68.3391384859574,97,213.83536881089898,11,24.249371720823596,195,429.8752259600547,91.3556,201.39236003160477,39,85.97504519201094,119,262.3341122525462,13,28.658348397336976,255,562.1445262554562,552.3498752593994,1217.6488586468836,369.0,813.456196816719,677.0,1492.4386049997795,245.0,540.0996428728891,1037.0,2286.054406772188,137.0,532.0,True,False,False
2022-03-08,128.65747,283.62388256937265,50,110.22441691283453,169,372.5585291653807,16,35.27181341210705,359,791.4113134341519,96.385826,212.48143166303635,41,90.38402186852431,126,277.76553062034304,14,30.86283673559367,278,612.84775803536,580.8389290771485,1280.4526455560788,377.0,831.0921035227724,734.0,1618.094440280411,242.0,533.4861778581192,1156.0,2548.3885190247343,78.0,543.0,True,False,False
2022-03-09,189.20868,417.1083215624094,66,145.49623032494156,238,524.6682245050924,23,50.70323177990389,541,1192.6281909968695,101.80922,224.43723864853382,37,81.56606851549756,127,279.9700189585997,12,26.453860059080288,298,656.9375248004939,611.5240370330811,1348.0976082030797,388.0,855.3414752435959,767.0,1690.8425554428816,239.0,526.8727128433491,1274.0,2808.518142939024,,,False,False,True
2022-03-10,181.28099,399.6318206191063,72,158.72316035448173,228,502.6233411225255,25,55.112208456417264,498,1097.8351924518317,107.65904,237.3330993577838,41,90.38402186852431,140,308.6283673559367,14,30.86283673559367,324,714.2542215951678,644.5866440887451,1420.9837398896545,396.0,872.9773819496495,814.0,1794.453507340946,234.0,515.8502711520656,1425.0,3141.3958820157845,,,False,False,True
2022-03-11,148.77338,327.9691794887185,50,110.22441691283453,188,414.4438075922578,17,37.47630175036374,447,985.4062872007407,113.97079,251.24726817011833,42,92.58851020678101,145,319.65080904722015,15,33.06732507385036,302,665.7554781535206,680.2244615631104,1499.5468929128133,392.0,864.1594285966227,854.0,1882.633040871214,232.0,511.44129447555224,1491.0,3286.892112340726,,,False,False,True
2022-03-12,87.34291,192.5464253872633,32,70.5436268242141,120,264.5386005908029,11,24.249371720823596,248,546.7131078876592,120.78443,266.2678714841604,44,96.99748688329439,151,332.8777390767603,14,30.86283673559367,340,749.5260350072748,718.6530357666015,1584.2622366002413,408.0,899.4312420087298,898.0,1979.6305277545082,226.0,498.2143644460121,1639.0,3613.156386402716,,,False,False,True
2022-03-13,82.626785,182.14978044852614,28,61.72567347118734,105,231.4712755169525,10,22.044883382566905,244,537.8951545346325,128.14256,282.4887866154313,45,99.20197522155108,167,368.1495524888673,15,33.06732507385036,400,881.7953353026762,760.1074133605957,1675.647928575891,408.0,899.4312420087298,955.0,2105.2863630351394,240.0,529.0772011816058,1747.0,3851.2411269344384,,,False,False,True
